mc	mn	mc_playthrough	mn_playthrough	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
230	230	230	230a	1833/2	4.0	-1	2/2	1	0				line		231
231	231	231	231a	1841/2	4.0	-1	2/2	1	0						232
232	232	232	232a	1849/2	4.0	-1	2/2	1	0						233
233	233	233	233a	1857/2	4.0	-1	2/2	1	0						234
234	234	234	234a	1865/2	4.0	-1	2/2	1	0						235
235	235	235	235a	1873/2	4.0	-1	2/2	1	0						236
236	236	236	236a	1881/2	4.0	-1	2/2	1	0				line		237
237	237	237	237a	1889/2	4.0	-1	2/2	1	0						238
238	238	238	238a	1897/2	4.0	-1	2/2	1	0						239
239	239	239	239a	1905/2	4.0	-1	2/2	1	0						240
240	240	240	240a	1913/2	4.0	-1	2/2	1	0				line		241
241	241	241	241a	1921/2	4.0	-1	2/2	1	0						242
242	242	242	242a	1929/2	4.0	-1	2/2	1	0						243
243	243	243	243a	1937/2	4.0	-1	2/2	1	0						244
244	244	244	244a	1945/2	4.0	-1	2/2	1	0			double	line		245
245	245	245	245a	1953/2	4.0	-1	2/2	1	0						246
246	246	246	246a	1961/2	4.0	-1	2/2	1	0						247
247	247	247	247a	1969/2	4.0	-1	2/2	1	0						248
248	248	248	248a	1977/2	4.0	-1	2/2	1	0						249
249	249	249	249a	1985/2	4.0	-1	2/2	1	0						250
250	250	250	250a	1993/2	4.0	-1	2/2	1	0				line		251
251	251	251	251a	2001/2	4.0	-1	2/2	1	0						252
252	252	252	252a	2009/2	4.0	-1	2/2	1	0						253
253	253	253	253a	2017/2	4.0	-1	2/2	1	0						254
254	254	254	254a	2025/2	4.0	-1	2/2	1	0						255
255	255	255	255a	2033/2	4.0	-1	2/2	1	0						256
256	256	256	256a	2041/2	4.0	-1	2/2	1	0				line		257
257	257	257	257a	2049/2	4.0	-1	2/2	1	0						258
258	258	258	258a	2057/2	4.0	-1	2/2	1	0						259
259	259	259	259a	2065/2	4.0	-1	2/2	1	0						260
260	260	260	260a	2073/2	4.0	-1	2/2	1	0			double			261
261	261	261	261a	2081/2	4.0	-1	2/2	1	0						262
262	262	262	262a	2089/2	4.0	-1	2/2	1	0				line		263
263	263	263	263a	2097/2	4.0	-1	2/2	1	0						264
264	264	264	264a	2105/2	4.0	-1	2/2	1	0						265
265	265	265	265a	2113/2	4.0	-1	2/2	1	0						266
266	266	266	266a	2121/2	4.0	-1	2/2	1	0						267
267	267	267	267a	2129/2	4.0	-1	2/2	1	0				line		268
268	268	268	268a	2137/2	4.0	-1	2/2	1	0						269
269	269	269	269a	2145/2	4.0	-1	2/2	1	0						270
270	270	270	270a	2153/2	4.0	-1	2/2	1	0						271
271	271	271	271a	2161/2	4.0	-1	2/2	1	0						272
272	272	272	272a	2169/2	4.0	-1	2/2	1	0				line		273
273	273	273	273a	2177/2	4.0	-1	2/2	1	0						274
274	274	274	274a	2185/2	4.0	-1	2/2	1	0						275
275	275	275	275a	2193/2	4.0	-1	2/2	1	0						276
276	276	276	276a	2201/2	4.0	-1	2/2	1	0						277
277	277	277	277a	2209/2	4.0	-1	2/2	1	0				line		278
278	278	278	278a	2217/2	4.0	-1	2/2	1	0						279
279	279	279	279a	2225/2	4.0	-1	2/2	1	0						280
280	280	280	280a	2233/2	4.0	-1	2/2	1	0						281
281	281	281	281a	2241/2	4.0	-1	2/2	1	0						282
282	282	282	282a	2249/2	4.0	-1	2/2	1	0				line		283
283	283	283	283a	2257/2	4.0	-1	2/2	1	0						284
284	284	284	284a	2265/2	4.0	-1	2/2	1	0						285
285	285	285	285a	2273/2	4.0	-1	2/2	1	0						286
286	286	286	286a	2281/2	4.0	-1	2/2	1	0						287
287	287	287	287a	2289/2	4.0	-1	2/2	1	0				line		288
288	288	288	288a	2297/2	4.0	-1	2/2	1	0						289
289	289	289	289a	2305/2	4.0	-1	2/2	1	0						290
290	290	290	290a	2313/2	4.0	-1	2/2	1	0						291
291	291	291	291a	2321/2	4.0	-1	2/2	1	0						292
292	292	292	292a	2329/2	4.0	-1	2/2	1	0				line		293
293	293	293	293a	2337/2	4.0	-1	2/2	1	0						294
