mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
212	212	1689/2	4.0	-1	2/2	1	0						213
213	213	1697/2	4.0	-1	2/2	1	0				line		214
214	214	1705/2	4.0	-1	2/2	1	0						215
215	215	1713/2	4.0	-1	2/2	1	0						216
216	216	1721/2	4.0	-1	2/2	1	0						217
217	217	1729/2	4.0	-1	2/2	1	0						218
218	218	1737/2	4.0	-1	2/2	1	0				line		219
219	219	1745/2	4.0	-1	2/2	1	0						220
220	220	1753/2	4.0	-1	2/2	1	0						221
221	221	1761/2	4.0	-1	2/2	1	0						222
222	222	1769/2	4.0	-1	2/2	1	0						223
223	223	1777/2	4.0	-1	2/2	1	0						224
224	224	1785/2	4.0	-1	2/2	1	0				line		225
225	225	1793/2	4.0	-1	2/2	1	0						226
226	226	1801/2	4.0	-1	2/2	1	0						227
227	227	1809/2	4.0	-1	2/2	1	0						228
228	228	1817/2	4.0	-1	2/2	1	0						229
229	229	1825/2	4.0	-1	2/2	1	0						230
230	230	1833/2	4.0	-1	2/2	1	0				line		231
231	231	1841/2	4.0	-1	2/2	1	0						232
232	232	1849/2	4.0	-1	2/2	1	0						233
233	233	1857/2	4.0	-1	2/2	1	0						234
234	234	1865/2	4.0	-1	2/2	1	0						235
235	235	1873/2	4.0	-1	2/2	1	0						236
236	236	1881/2	4.0	-1	2/2	1	0				line		237
237	237	1889/2	4.0	-1	2/2	1	0						238
238	238	1897/2	4.0	-1	2/2	1	0						239
239	239	1905/2	4.0	-1	2/2	1	0						240
240	240	1913/2	4.0	-1	2/2	1	0				line		241
241	241	1921/2	4.0	-1	2/2	1	0						242
242	242	1929/2	4.0	-1	2/2	1	0						243
243	243	1937/2	4.0	-1	2/2	1	0						244
244	244	1945/2	4.0	-1	2/2	1	0			double	line		245
245	245	1953/2	4.0	-1	2/2	1	0						246
246	246	1961/2	4.0	-1	2/2	1	0						247
247	247	1969/2	4.0	-1	2/2	1	0						248
248	248	1977/2	4.0	-1	2/2	1	0						249
249	249	1985/2	4.0	-1	2/2	1	0						250
250	250	1993/2	4.0	-1	2/2	1	0				line		251
251	251	2001/2	4.0	-1	2/2	1	0						252
252	252	2009/2	4.0	-1	2/2	1	0						253
253	253	2017/2	4.0	-1	2/2	1	0						254
254	254	2025/2	4.0	-1	2/2	1	0						255
255	255	2033/2	4.0	-1	2/2	1	0						256
256	256	2041/2	4.0	-1	2/2	1	0				line		257
257	257	2049/2	4.0	-1	2/2	1	0						258
258	258	2057/2	4.0	-1	2/2	1	0						259
259	259	2065/2	4.0	-1	2/2	1	0						260
260	260	2073/2	4.0	-1	2/2	1	0			double			261
261	261	2081/2	4.0	-1	2/2	1	0						262
262	262	2089/2	4.0	-1	2/2	1	0				line		263
