mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
13	13	13	13a	905/18	905/18	0.2222222222222222	4/9	4/9	2/2	14	1	1/18			1/8	4/9		-3	63	Eb4	4	134
13	13	13	13a	101/2	101/2	0.2222222222222222	1/2	1/2	2/2	14	1	1/18			1/8	4/9		2	26	D1	1	135
13	13	13	13a	101/2	101/2	1.0	1/2	1/2	2/2	18	1	1/4			1/4	1		2	38	D2	2	151
13	13	13	13a	101/2	101/2	1.0	1/2	1/2	2/2	20	1	1/4			1/4	1		2	38	D2	2	153
13	13	13	13a	913/18	913/18	0.2222222222222222	5/9	5/9	2/2	14	1	1/18			1/8	4/9		2	38	D2	2	136
13	13	13	13a	917/18	917/18	0.2222222222222222	11/18	11/18	2/2	14	1	1/18			1/8	4/9		1	43	G2	2	137
13	13	13	13a	307/6	307/6	0.2222222222222222	2/3	2/3	2/2	14	1	1/18			1/8	4/9		0	48	C3	3	138
13	13	13	13a	925/18	925/18	0.2222222222222222	13/18	13/18	2/2	14	1	1/18			1/8	4/9		-1	53	F3	3	139
13	13	13	13a	103/2	103/2	1.0	3/4	3/4	2/2	3	1	1/4			1/4	1		-2	58	Bb3	3	125
13	13	13	13a	103/2	103/2	1.0	3/4	3/4	2/2	15	1	1/4			1/4	1		-2	58	Bb3	3	145
13	13	13	13a	103/2	103/2	1.0	3/4	3/4	2/2	16	1	1/4			1/4	1		-2	58	Bb3	3	147
13	13	13	13a	103/2	103/2	1.0	3/4	3/4	2/2	17	1	1/4			1/4	1		-2	58	Bb3	3	149
13	13	13	13a	929/18	929/18	0.2222222222222222	7/9	7/9	2/2	14	1	1/18			1/8	4/9		-4	56	Ab3	3	140
13	13	13	13a	311/6	311/6	0.2222222222222222	5/6	5/6	2/2	14	1	1/18			1/8	4/9		1	55	G3	3	141
13	13	13	13a	937/18	937/18	0.2222222222222222	8/9	8/9	2/2	14	1	1/18			1/8	4/9		0	60	C4	4	142
13	13	13	13a	941/18	941/18	0.2222222222222222	17/18	17/18	2/2	14	1	1/18			1/8	4/9		-1	65	F4	4	143
14	14	14	14a	105/2	105/2	0.2222222222222222	0	0	2/2	14	1	1/18			1/8	4/9		-1	29	F1	1	157
14	14	14	14a	105/2	105/2	1.0	0	0	2/2	18	1	1/4			1/4	1		-1	41	F2	2	184
14	14	14	14a	105/2	105/2	1.0	0	0	2/2	20	1	1/4			1/4	1		-1	41	F2	2	186
14	14	14	14a	105/2	105/2	1.0	0	0	2/2	3	1	1/4			1/4	1		-4	56	Ab3	3	154
14	14	14	14a	105/2	105/2	1.0	0	0	2/2	15	1	1/4			1/4	1		-4	56	Ab3	3	175
14	14	14	14a	105/2	105/2	1.0	0	0	2/2	16	1	1/4			1/4	1		-4	56	Ab3	3	178
14	14	14	14a	105/2	105/2	1.0	0	0	2/2	17	1	1/4			1/4	1		-4	56	Ab3	3	181
14	14	14	14a	949/18	949/18	0.2222222222222222	1/18	1/18	2/2	14	1	1/18			1/8	4/9		-1	41	F2	2	158
14	14	14	14a	953/18	953/18	0.2222222222222222	1/9	1/9	2/2	14	1	1/18			1/8	4/9		0	48	C3	3	159
14	14	14	14a	319/6	319/6	0.2222222222222222	1/6	1/6	2/2	14	1	1/18			1/8	4/9		2	50	D3	3	160
14	14	14	14a	961/18	961/18	0.2222222222222222	2/9	2/9	2/2	14	1	1/18			1/8	4/9		-4	56	Ab3	3	161
14	14	14	14a	107/2	107/2	1.0	1/4	1/4	2/2	3	1	1/4			1/4	1		-2	58	Bb3	3	155
14	14	14	14a	107/2	107/2	1.0	1/4	1/4	2/2	15	1	1/4			1/4	1		-2	58	Bb3	3	176
14	14	14	14a	107/2	107/2	1.0	1/4	1/4	2/2	16	1	1/4			1/4	1		-2	58	Bb3	3	179
14	14	14	14a	107/2	107/2	1.0	1/4	1/4	2/2	17	1	1/4			1/4	1		-2	58	Bb3	3	182
14	14	14	14a	965/18	965/18	0.2222222222222222	5/18	5/18	2/2	14	1	1/18			1/8	4/9		2	62	D4	4	162
14	14	14	14a	323/6	323/6	0.2222222222222222	1/3	1/3	2/2	14	1	1/18			1/8	4/9		0	60	C4	4	163
14	14	14	14a	973/18	973/18	0.2222222222222222	7/18	7/18	2/2	14	1	1/18			1/8	4/9		2	62	D4	4	164
14	14	14	14a	977/18	977/18	0.2222222222222222	4/9	4/9	2/2	14	1	1/18			1/8	4/9		-4	68	Ab4	4	165
