mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	tuning	chord_id
171	171	171	171a	512	512	1.0	1/2	1/2	3/4	22	1	1/4	1/4	1		-1	77	F5	5		4680
171	171	171	171a	512	512	1.0	1/2	1/2	3/4	21	1	1/4	1/4	1		1	91	G6	6		4677
172	172	172	172a	513	513	1.0	0	0	3/4	24	1	1/4	1/4	1		-3	63	Eb4	4		4696
172	172	172	172a	513	513	1.0	0	0	3/4	22	1	1/4	1/4	1		1	67	G4	4		4690
172	172	172	172a	513	513	1.0	0	0	3/4	23	1	1/4	1/4	1		1	67	G4	4		4693
172	172	172	172a	513	513	2.0	0	0	3/4	7	1	1/2	1/2	1		1	67	G4	4		4685
172	172	172	172a	513	513	1.0	0	0	3/4	21	1	1/4	1/4	1		1	79	G5	5		4687
172	172	172	172a	514	514	1.0	1/4	1/4	3/4	24	1	1/4	1/4	1		0	60	C4	4		4697
172	172	172	172a	514	514	1.0	1/4	1/4	3/4	23	1	1/4	1/4	1		-3	63	Eb4	4		4694
172	172	172	172a	514	514	1.0	1/4	1/4	3/4	22	1	1/4	1/4	1		-3	75	Eb5	5		4691
172	172	172	172a	514	514	1.0	1/4	1/4	3/4	21	1	1/4	1/4	1		1	91	G6	6		4688
172	172	172	172a	515	515	1.0	1/2	1/2	3/4	24	1	1/4	1/4	1		2	62	D4	4		4698
172	172	172	172a	515	515	1.0	1/2	1/2	3/4	7	1	1/4	1/4	1		-1	65	F4	4		4686
172	172	172	172a	515	515	1.0	1/2	1/2	3/4	23	1	1/4	1/4	1		-1	65	F4	4		4695
172	172	172	172a	515	515	1.0	1/2	1/2	3/4	22	1	1/4	1/4	1		2	74	D5	5		4692
172	172	172	172a	515	515	1.0	1/2	1/2	3/4	21	1	1/4	1/4	1		1	79	G5	5		4689
173	173	173	173a	516	516	1.0	0	0	3/4	7	1	1/4	1/4	1		-3	63	Eb4	4		4701
173	173	173	173a	516	516	1.0	0	0	3/4	24	1	1/4	1/4	1		-3	63	Eb4	4		4713
173	173	173	173a	516	516	1.0	0	0	3/4	23	1	1/4	1/4	1		1	67	G4	4		4710
173	173	173	173a	516	516	1.0	0	0	3/4	22	1	1/4	1/4	1		0	72	C5	5		4707
173	173	173	173a	516	516	2.0	0	0	3/4	3	1	1/2	1/2	1		0	72	C5	5		4699
173	173	173	173a	516	516	1.0	0	0	3/4	21	1	1/4	1/4	1		1	91	G6	6		4704
173	173	173	173a	517	517	0.5	1/4	1/4	3/4	24	1	1/8	1/8	1		0	60	C4	4		4714
173	173	173	173a	517	517	1.0	1/4	1/4	3/4	7	1	1/4	1/4	1		1	67	G4	4		4702
173	173	173	173a	517	517	1.0	1/4	1/4	3/4	22	1	1/4	1/4	1		-2	70	Bb4	4		4708
173	173	173	173a	517	517	1.0	1/4	1/4	3/4	23	1	1/4	1/4	1		0	72	C5	5		4711
173	173	173	173a	517	517	1.0	1/4	1/4	3/4	21	1	1/4	1/4	1		1	79	G5	5		4705
173	173	173	173a	1035/2	1035/2	0.5	3/8	3/8	3/4	24	1	1/8	1/8	1		2	62	D4	4		4715
173	173	173	173a	518	518	0.5	1/2	1/2	3/4	24	1	1/8	1/8	1		-3	63	Eb4	4		4716
173	173	173	173a	518	518	1.0	1/2	1/2	3/4	7	1	1/4	1/4	1		-1	65	F4	4		4703
173	173	173	173a	518	518	1.0	1/2	1/2	3/4	22	1	1/4	1/4	1		-4	68	Ab4	4		4709
173	173	173	173a	518	518	1.0	1/2	1/2	3/4	23	1	1/4	1/4	1		0	72	C5	5		4712
173	173	173	173a	518	518	1.0	1/2	1/2	3/4	3	1	1/4	1/4	1		2	74	D5	5		4700
173	173	173	173a	518	518	1.0	1/2	1/2	3/4	21	1	1/4	1/4	1		1	91	G6	6		4706
173	173	173	173a	1037/2	1037/2	0.5	5/8	5/8	3/4	24	1	1/8	1/8	1		-1	65	F4	4		4717
174	174	174	174a	519	519	1.0	0	0	3/4	7	1	1/4	1/4	1		-3	63	Eb4	4		4723
174	174	174	174a	519	519	1.0	0	0	3/4	22	1	1/4	1/4	1		1	67	G4	4		4731
174	174	174	174a	519	519	1.0	0	0	3/4	23	1	1/4	1/4	1		1	67	G4	4		4732
174	174	174	174a	519	519	1.0	0	0	3/4	24	1	1/4	1/4	1		1	67	G4	4		4733
174	174	174	174a	519	519	1.0	0	0	3/4	3	1	1/4	1/4	1		-3	75	Eb5	5		4718
174	174	174	174a	519	519	1.0	0	0	3/4	21	1	1/4	1/4	1		1	79	G5	5		4728
174	174	174	174a	519	519	2.0	0	0	3/4	5	1	1/2	1/2	1		1	79	G5	5		4721
174	174	174	174a	520	520	0.5	1/4	1/4	3/4	7	1	1/8	1/8	1		1	67	G4	4		4724
174	174	174	174a	520	520	1.0	1/4	1/4	3/4	3	1	1/4	1/4	1		0	72	C5	5		4719
174	174	174	174a	520	520	1.0	1/4	1/4	3/4	21	1	1/4	1/4	1		1	91	G6	6		4729
174	174	174	174a	1041/2	1041/2	0.5	3/8	3/8	3/4	7	1	1/8	1/8	1		-1	65	F4	4		4725
174	174	174	174a	521	521	0.5	1/2	1/2	3/4	7	1	1/8	1/8	1		-3	63	Eb4	4		4726
174	174	174	174a	521	521	1.0	1/2	1/2	3/4	3	1	1/4	1/4	1		2	74	D5	5		4720
174	174	174	174a	521	521	1.0	1/2	1/2	3/4	5	1	1/4	1/4	1		-1	77	F5	5		4722
174	174	174	174a	521	521	1.0	1/2	1/2	3/4	21	1	1/4	1/4	1		1	79	G5	5		4730
174	174	174	174a	1043/2	1043/2	0.5	5/8	5/8	3/4	7	1	1/8	1/8	1		2	62	D4	4		4727
175	175	175	175a	522	522	1.0	0	0	3/4	7	1	1/4	1/4	1		0	60	C4	4		4740
175	175	175	175a	522	522	1.0	0	0	3/4	3	1	1/4	1/4	1		-3	75	Eb5	5		4734
175	175	175	175a	522	522	1.0	0	0	3/4	5	1	1/4	1/4	1		-3	75	Eb5	5		4739
175	175	175	175a	522	522	1.0	0	0	3/4	21	1	1/4	1/4	1		1	91	G6	6		4741
175	175	175	175a	523	523	0.5	1/4	1/4	3/4	3	1	1/8	1/8	1		0	72	C5	5		4735
175	175	175	175a	523	523	1.0	1/4	1/4	3/4	21	1	1/4	1/4	1		1	79	G5	5		4742
175	175	175	175a	1047/2	1047/2	0.5	3/8	3/8	3/4	3	1	1/8	1/8	1		2	74	D5	5		4736
175	175	175	175a	524	524	0.5	1/2	1/2	3/4	3	1	1/8	1/8	1		-3	75	Eb5	5		4737
175	175	175	175a	524	524	1.0	1/2	1/2	3/4	21	1	1/4	1/4	1		1	91	G6	6		4743
175	175	175	175a	1049/2	1049/2	0.5	5/8	5/8	3/4	3	1	1/8	1/8	1		-1	77	F5	5		4738
176	176	176	176a	525	525	1.0	0	0	3/4	3	1	1/4	1/4	1		1	79	G5	5		4746
176	176	176	176a	525	525	1.0	0	0	3/4	21	1	1/4	1/4	1		1	79	G5	5		4751
176	176	176	176a	526	526	1.0	1/4	1/4	3/4	21	1	1/4	1/4	1		1	91	G6	6		4752
176	176	176	176a	527	527	1.0	1/2	1/2	3/4	13	1	1/4	1/4	1		-4	68	Ab4	4		4749
176	176	176	176a	527	527	1.0	1/2	1/2	3/4	14	1	1/4	1/4	1		-4	68	Ab4	4		4750
176	176	176	176a	527	527	1.0	1/2	1/2	3/4	22	1	1/4	1/4	1		-4	68	Ab4	4		4754
176	176	176	176a	527	527	1.0	1/2	1/2	3/4	3	1	1/4	1/4	1		-4	80	Ab5	5		4747
176	176	176	176a	527	527	1.0	1/2	1/2	3/4	4	1	1/4	1/4	1		-4	80	Ab5	5		4748
176	176	176	176a	527	527	1.0	1/2	1/2	3/4	21	1	1/4	1/4	1		-4	80	Ab5	5		4753
176	176	176	176a	527	527	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		-4	92	Ab6	6		4744
176	176	176	176a	527	527	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		-4	92	Ab6	6		4745
177	177	177	177a	528	528	3.0	0	0	3/4	13	1	3/4	1/2	3/2	1	-4	68	Ab4	4		4759
177	177	177	177a	528	528	3.0	0	0	3/4	14	1	3/4	1/2	3/2	1	-4	68	Ab4	4		4760
177	177	177	177a	528	528	1.0	0	0	3/4	22	1	1/4	1/4	1		-4	80	Ab5	5		4764
177	177	177	177a	528	528	3.0	0	0	3/4	3	1	3/4	1/2	3/2	1	-4	80	Ab5	5		4757
177	177	177	177a	528	528	3.0	0	0	3/4	4	1	3/4	1/2	3/2	1	-4	80	Ab5	5		4758
177	177	177	177a	528	528	1.0	0	0	3/4	21	1	1/4	1/4	1		-4	92	Ab6	6		4761
177	177	177	177a	528	528	3.0	0	0	3/4	1	1	3/4	1/2	3/2	1	-4	92	Ab6	6		4755
177	177	177	177a	528	528	3.0	0	0	3/4	2	1	3/4	1/2	3/2	1	-4	92	Ab6	6		4756
177	177	177	177a	529	529	1.0	1/4	1/4	3/4	22	1	1/4	1/4	1		-4	68	Ab4	4		4765
177	177	177	177a	529	529	1.0	1/4	1/4	3/4	21	1	1/4	1/4	1		-4	80	Ab5	5		4762
177	177	177	177a	530	530	1.0	1/2	1/2	3/4	22	1	1/4	1/4	1		-4	80	Ab5	5		4766
177	177	177	177a	530	530	1.0	1/2	1/2	3/4	21	1	1/4	1/4	1		-4	92	Ab6	6		4763
178	178	178	178a	531	531	1.0	0	0	3/4	22	1	1/4	1/4	1		-4	68	Ab4	4		4781
178	178	178	178a	531	531	3.0	0	0	3/4	13	1	3/4	1/2	3/2	0	-4	68	Ab4	4		4773
178	178	178	178a	531	531	3.0	0	0	3/4	14	1	3/4	1/2	3/2	0	-4	68	Ab4	4		4774
178	178	178	178a	531	531	1.0	0	0	3/4	21	1	1/4	1/4	1		-4	80	Ab5	5		4778
178	178	178	178a	531	531	3.0	0	0	3/4	3	1	3/4	1/2	3/2	0	-4	80	Ab5	5		4769
178	178	178	178a	531	531	3.0	0	0	3/4	4	1	3/4	1/2	3/2	0	-4	80	Ab5	5		4770
178	178	178	178a	531	531	3.0	0	0	3/4	1	1	3/4	1/2	3/2	0	-4	92	Ab6	6		4767
178	178	178	178a	531	531	3.0	0	0	3/4	2	1	3/4	1/2	3/2	0	-4	92	Ab6	6		4768
178	178	178	178a	532	532	1.0	1/4	1/4	3/4	22	1	1/4	1/4	1		-4	80	Ab5	5		4782
178	178	178	178a	532	532	1.0	1/4	1/4	3/4	21	1	1/4	1/4	1		-4	92	Ab6	6		4779
178	178	178	178a	533	533	1.0	1/2	1/2	3/4	25	1	1/4	1/4	1		8	44	G#2	2		4785
178	178	178	178a	533	533	1.0	1/2	1/2	3/4	7	1	1/4	1/4	1		8	56	G#3	3		4771
178	178	178	178a	533	533	1.0	1/2	1/2	3/4	8	1	1/4	1/4	1		8	56	G#3	3		4772
178	178	178	178a	533	533	1.0	1/2	1/2	3/4	16	1	1/4	1/4	1		-4	56	Ab3	3		4775
178	178	178	178a	533	533	1.0	1/2	1/2	3/4	17	1	1/4	1/4	1		-4	56	Ab3	3		4776
178	178	178	178a	533	533	1.0	1/2	1/2	3/4	18	1	1/4	1/4	1		-4	56	Ab3	3		4777
178	178	178	178a	533	533	1.0	1/2	1/2	3/4	24	1	1/4	1/4	1		8	56	G#3	3		4784
178	178	178	178a	533	533	1.0	1/2	1/2	3/4	22	1	1/4	1/4	1		-4	68	Ab4	4		4783
178	178	178	178a	533	533	1.0	1/2	1/2	3/4	21	1	1/4	1/4	1		-4	80	Ab5	5		4780
179	179	179	179a	534	534	1.0	0	0	3/4	25	1	1/4	1/4	1		3	33	A1	1		4824
179	179	179	179a	534	534	1.0	0	0	3/4	7	1	1/4	1/4	1		3	45	A2	2		4794
179	179	179	179a	534	534	1.0	0	0	3/4	8	1	1/4	1/4	1		3	45	A2	2		4796
179	179	179	179a	534	534	1.0	0	0	3/4	24	1	1/4	1/4	1		3	45	A2	2		4821
179	179	179	179a	534	534	3.0	0	0	3/4	16	1	3/4	1/2	3/2	1	-4	56	Ab3	3		4810
179	179	179	179a	534	534	3.0	0	0	3/4	17	1	3/4	1/2	3/2	1	-4	56	Ab3	3		4811
179	179	179	179a	534	534	3.0	0	0	3/4	18	1	3/4	1/2	3/2	1	-4	56	Ab3	3		4812
179	179	179	179a	534	534	2.0	0	0	3/4	9	1	1/2	1/2	1		7	61	C#4	4		4798
179	179	179	179a	534	534	2.0	0	0	3/4	10	1	1/2	1/2	1		7	61	C#4	4		4800
179	179	179	179a	534	534	2.0	0	0	3/4	11	1	1/2	1/2	1		7	61	C#4	4		4802
179	179	179	179a	534	534	2.0	0	0	3/4	12	1	1/2	1/2	1		7	61	C#4	4		4804
179	179	179	179a	534	534	2.0	0	0	3/4	23	1	1/2	1/2	1		7	61	C#4	4		4819
179	179	179	179a	534	534	3.0	0	0	3/4	13	1	3/4	1/2	3/2	0	-4	68	Ab4	4		4806
179	179	179	179a	534	534	3.0	0	0	3/4	14	1	3/4	1/2	3/2	0	-4	68	Ab4	4		4807
179	179	179	179a	534	534	2.0	0	0	3/4	5	1	1/2	1/2	1		7	73	C#5	5		4790
179	179	179	179a	534	534	2.0	0	0	3/4	6	1	1/2	1/2	1		7	73	C#5	5		4792
179	179	179	179a	534	534	2.0	0	0	3/4	15	1	1/2	1/2	1		7	73	C#5	5		4808
179	179	179	179a	534	534	1.0	0	0	3/4	22	1	1/4	1/4	1		-4	80	Ab5	5		4816
179	179	179	179a	534	534	3.0	0	0	3/4	3	1	3/4	1/2	3/2	0	-4	80	Ab5	5		4788
179	179	179	179a	534	534	3.0	0	0	3/4	4	1	3/4	1/2	3/2	0	-4	80	Ab5	5		4789
179	179	179	179a	534	534	1.0	0	0	3/4	21	1	1/4	1/4	1		-4	92	Ab6	6		4813
179	179	179	179a	534	534	3.0	0	0	3/4	1	1	3/4	1/2	3/2	0	-4	92	Ab6	6		4786
179	179	179	179a	534	534	3.0	0	0	3/4	2	1	3/4	1/2	3/2	0	-4	92	Ab6	6		4787
179	179	179	179a	535	535	1.0	1/4	1/4	3/4	25	1	1/4	1/4	1		8	44	G#2	2		4825
179	179	179	179a	535	535	1.0	1/4	1/4	3/4	24	1	1/4	1/4	1		8	56	G#3	3		4822
179	179	179	179a	535	535	1.0	1/4	1/4	3/4	22	1	1/4	1/4	1		-4	68	Ab4	4		4817
179	179	179	179a	535	535	1.0	1/4	1/4	3/4	21	1	1/4	1/4	1		-4	80	Ab5	5		4814
179	179	179	179a	536	536	1.0	1/2	1/2	3/4	25	1	1/4	1/4	1		6	42	F#2	2		4826
179	179	179	179a	536	536	1.0	1/2	1/2	3/4	7	1	1/4	1/4	1		6	54	F#3	3		4795
179	179	179	179a	536	536	1.0	1/2	1/2	3/4	8	1	1/4	1/4	1		6	54	F#3	3		4797
179	179	179	179a	536	536	1.0	1/2	1/2	3/4	24	1	1/4	1/4	1		6	54	F#3	3		4823
179	179	179	179a	536	536	1.0	1/2	1/2	3/4	9	1	1/4	1/4	1		9	63	D#4	4		4799
179	179	179	179a	536	536	1.0	1/2	1/2	3/4	10	1	1/4	1/4	1		9	63	D#4	4		4801
179	179	179	179a	536	536	1.0	1/2	1/2	3/4	11	1	1/4	1/4	1		9	63	D#4	4		4803
179	179	179	179a	536	536	1.0	1/2	1/2	3/4	12	1	1/4	1/4	1		9	63	D#4	4		4805
179	179	179	179a	536	536	1.0	1/2	1/2	3/4	23	1	1/4	1/4	1		9	63	D#4	4		4820
179	179	179	179a	536	536	1.0	1/2	1/2	3/4	5	1	1/4	1/4	1		9	75	D#5	5		4791
179	179	179	179a	536	536	1.0	1/2	1/2	3/4	6	1	1/4	1/4	1		9	75	D#5	5		4793
179	179	179	179a	536	536	1.0	1/2	1/2	3/4	15	1	1/4	1/4	1		9	75	D#5	5		4809
179	179	179	179a	536	536	1.0	1/2	1/2	3/4	22	1	1/4	1/4	1		-4	80	Ab5	5		4818
179	179	179	179a	536	536	1.0	1/2	1/2	3/4	21	1	1/4	1/4	1		-4	92	Ab6	6		4815
180	180	180	180a	537	537	1.0	0	0	3/4	25	1	1/4	1/4	1		8	32	G#1	1		4871
180	180	180	180a	537	537	1.0	0	0	3/4	7	1	1/4	1/4	1		8	44	G#2	2		4837
180	180	180	180a	537	537	1.0	0	0	3/4	8	1	1/4	1/4	1		8	44	G#2	2		4838
180	180	180	180a	537	537	1.0	0	0	3/4	24	1	1/4	1/4	1		8	44	G#2	2		4868
180	180	180	180a	537	537	3.0	0	0	3/4	16	1	3/4	1/2	3/2	0	-4	56	Ab3	3		4856
180	180	180	180a	537	537	3.0	0	0	3/4	17	1	3/4	1/2	3/2	0	-4	56	Ab3	3		4857
180	180	180	180a	537	537	3.0	0	0	3/4	18	1	3/4	1/2	3/2	0	-4	56	Ab3	3		4858
180	180	180	180a	537	537	1.0	0	0	3/4	9	1	1/4	1/4	1		4	64	E4	4		4839
180	180	180	180a	537	537	1.0	0	0	3/4	10	1	1/4	1/4	1		4	64	E4	4		4842
180	180	180	180a	537	537	1.0	0	0	3/4	11	1	1/4	1/4	1		4	64	E4	4		4845
180	180	180	180a	537	537	1.0	0	0	3/4	12	1	1/4	1/4	1		4	64	E4	4		4848
180	180	180	180a	537	537	1.0	0	0	3/4	23	1	1/4	1/4	1		4	64	E4	4		4865
180	180	180	180a	537	537	1.0	0	0	3/4	22	1	1/4	1/4	1		-4	68	Ab4	4		4862
180	180	180	180a	537	537	3.0	0	0	3/4	13	1	3/4	1/2	3/2	0	-4	68	Ab4	4		4851
180	180	180	180a	537	537	3.0	0	0	3/4	14	1	3/4	1/2	3/2	0	-4	68	Ab4	4		4852
180	180	180	180a	537	537	1.0	0	0	3/4	5	1	1/4	1/4	1		4	76	E5	5		4831
180	180	180	180a	537	537	1.0	0	0	3/4	6	1	1/4	1/4	1		4	76	E5	5		4834
180	180	180	180a	537	537	1.0	0	0	3/4	15	1	1/4	1/4	1		4	76	E5	5		4853
180	180	180	180a	537	537	1.0	0	0	3/4	21	1	1/4	1/4	1		-4	80	Ab5	5		4859
180	180	180	180a	537	537	3.0	0	0	3/4	3	1	3/4	1/2	3/2	0	-4	80	Ab5	5		4829
180	180	180	180a	537	537	3.0	0	0	3/4	4	1	3/4	1/2	3/2	0	-4	80	Ab5	5		4830
180	180	180	180a	537	537	3.0	0	0	3/4	1	1	3/4	1/2	3/2	0	-4	92	Ab6	6		4827
