mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	GradualTempoChange	GradualTempoChange_(poco a poco accelerando)	GradualTempoChange_(sempre accelerando)	GradualTempoChange_ritard.	GradualTempoChange_[poco a poco accel.]	GradualTempoChange_[sempre accel.]	Ottava:8vb	Trill:trill	diminuendo_line	HairPin:3_dimin.	HairPin:3_diminuendo	HairPin:3_dim.)	HairPin:3_dim. sempre	HairPin:3_sempre dim.	HairPin:3_(dim.)	decrescendo_hairpin	crescendo_hairpin	crescendo_line	HairPin:2_crescendo	HairPin:2_poco a poco cresc.	HairPin:2_sempre cresc.	HairPin:2_poco a poco crescendo	HairPin:2_(cresc.)	HairPin:2_crescendo sempre	HairPin:2_(sempre cresc.)	HairPin:2_poco a poco accel. et cresc.
5	5	5	5a	12	12	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	92								2
5	5	5	5a	14	14	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	93								2
5	5	5	5a	12	12	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	94								3
5	5	5	5a	14	14	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	95
5	5	5	5a	12	12	2.0	0	0	Chord	3/4	5	1	1/2	1/2	1	96								4
5	5	5	5a	14	14	1.0	1/2	1/2	Chord	3/4	5	1	1/4	1/4	1	97								4
5	5	5	5a	12	12	2.0	0	0	Chord	3/4	6	1	1/2	1/2	1	98								5
5	5	5	5a	14	14	1.0	1/2	1/2	Chord	3/4	6	1	1/4	1/4	1	99								5
5	5	5	5a	12	12	1.0	0	0	Chord	3/4	21	1	1/4	1/4	1	100			articStaccatissimoBelow
5	5	5	5a	13	13	1.0	1/4	1/4	Chord	3/4	21	1	1/4	1/4	1	101			articStaccatissimoBelow
5	5	5	5a	14	14	1.0	1/2	1/2	Chord	3/4	21	1	1/4	1/4	1	102			articStaccatissimoBelow
5	5	5	5a	12	12	1.0	0	0	Chord	3/4	22	1	1/4	1/4	1	103			articStaccatissimoBelow
5	5	5	5a	13	13	1.0	1/4	1/4	Chord	3/4	22	1	1/4	1/4	1	104			articStaccatissimoBelow
5	5	5	5a	14	14	1.0	1/2	1/2	Chord	3/4	22	1	1/4	1/4	1	105			articStaccatissimoBelow
5	5	5	5a	12	12	1.0	0	0	Chord	3/4	23	1	1/4	1/4	1	106			articStaccatissimoAbove
5	5	5	5a	13	13	1.0	1/4	1/4	Chord	3/4	23	1	1/4	1/4	1	107			articStaccatissimoAbove
5	5	5	5a	14	14	1.0	1/2	1/2	Chord	3/4	23	1	1/4	1/4	1	108			articStaccatissimoAbove
5	5	5	5a	12	12	1.0	0	0	Chord	3/4	24	1	1/4	1/4	1	109			articStaccatissimoAbove
5	5	5	5a	13	13	1.0	1/4	1/4	Chord	3/4	24	1	1/4	1/4	1	110			articStaccatissimoAbove
5	5	5	5a	14	14	1.0	1/2	1/2	Chord	3/4	24	1	1/4	1/4	1	111			articStaccatissimoAbove
5	5	5	5a	12	12	1.0	0	0	Chord	3/4	25	1	1/4	1/4	1	112			articStaccatissimoAbove
5	5	5	5a	13	13	1.0	1/4	1/4	Chord	3/4	25	1	1/4	1/4	1	113			articStaccatissimoAbove
5	5	5	5a	14	14	1.0	1/2	1/2	Chord	3/4	25	1	1/4	1/4	1	114			articStaccatissimoAbove
6	6	6	6a	15	15	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	115			articStaccatissimoAbove
6	6	6	6a	16	16	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	116			articStaccatissimoAbove
6	6	6	6a	17	17	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	117			articStaccatissimoAbove
6	6	6	6a	15	15	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	118			articStaccatissimoAbove
6	6	6	6a	16	16	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	119			articStaccatissimoAbove
6	6	6	6a	17	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	120			articStaccatissimoAbove
6	6	6	6a	15	15	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	121			articStaccatissimoAbove
6	6	6	6a	16	16	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	122			articStaccatissimoAbove
6	6	6	6a	17	17	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	123			articStaccatissimoAbove
6	6	6	6a	15	15	1.0	0	0	Chord	3/4	4	1	1/4	1/4	1	124			articStaccatissimoAbove
6	6	6	6a	16	16	1.0	1/4	1/4	Chord	3/4	4	1	1/4	1/4	1	125			articStaccatissimoAbove
6	6	6	6a	17	17	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	126			articStaccatissimoAbove
6	6	6	6a	15	15	1.0	0	0	Chord	3/4	5	1	1/4	1/4	1	127			articStaccatissimoBelow
6	6	6	6a	16	16	1.0	1/4	1/4	Chord	3/4	5	1	1/4	1/4	1	128			articStaccatissimoBelow
6	6	6	6a	17	17	1.0	1/2	1/2	Chord	3/4	5	1	1/4	1/4	1	129			articStaccatissimoBelow
6	6	6	6a	15	15	1.0	0	0	Chord	3/4	6	1	1/4	1/4	1	130			articStaccatissimoBelow
6	6	6	6a	16	16	1.0	1/4	1/4	Chord	3/4	6	1	1/4	1/4	1	131			articStaccatissimoBelow
6	6	6	6a	17	17	1.0	1/2	1/2	Chord	3/4	6	1	1/4	1/4	1	132			articStaccatissimoBelow
6	6	6	6a	15	15	1.0	0	0	Chord	3/4	21	1	1/4	1/4	1	133			articStaccatissimoBelow
6	6	6	6a	16	16	1.0	1/4	1/4	Chord	3/4	21	1	1/4	1/4	1	134			articStaccatissimoBelow
6	6	6	6a	17	17	1.0	1/2	1/2	Chord	3/4	21	1	1/4	1/4	1	135			articStaccatissimoBelow
6	6	6	6a	15	15	1.0	0	0	Chord	3/4	22	1	1/4	1/4	1	136			articStaccatissimoBelow
6	6	6	6a	16	16	1.0	1/4	1/4	Chord	3/4	22	1	1/4	1/4	1	137			articStaccatissimoBelow
6	6	6	6a	17	17	1.0	1/2	1/2	Chord	3/4	22	1	1/4	1/4	1	138			articStaccatissimoBelow
6	6	6	6a	15	15	1.0	0	0	Chord	3/4	23	1	1/4	1/4	1	139			articStaccatissimoAbove
6	6	6	6a	16	16	1.0	1/4	1/4	Chord	3/4	23	1	1/4	1/4	1	140			articStaccatissimoAbove
6	6	6	6a	17	17	1.0	1/2	1/2	Chord	3/4	23	1	1/4	1/4	1	141			articStaccatissimoAbove
6	6	6	6a	15	15	1.0	0	0	Chord	3/4	24	1	1/4	1/4	1	142			articStaccatissimoAbove
6	6	6	6a	16	16	1.0	1/4	1/4	Chord	3/4	24	1	1/4	1/4	1	143			articStaccatissimoAbove
6	6	6	6a	17	17	1.0	1/2	1/2	Chord	3/4	24	1	1/4	1/4	1	144			articStaccatissimoAbove
6	6	6	6a	15	15	1.0	0	0	Chord	3/4	25	1	1/4	1/4	1	145			articStaccatissimoAbove
6	6	6	6a	16	16	1.0	1/4	1/4	Chord	3/4	25	1	1/4	1/4	1	146			articStaccatissimoAbove
6	6	6	6a	17	17	1.0	1/2	1/2	Chord	3/4	25	1	1/4	1/4	1	147			articStaccatissimoAbove
7	7	7	7a	18	18	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	148
7	7	7	7a	19	19	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	149								6
7	7	7	7a	39/2	39/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	150								6
7	7	7	7a	20	20	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	151								6
7	7	7	7a	41/2	41/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	152								6
7	7	7	7a	18	18	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	153
7	7	7	7a	19	19	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	154								7
7	7	7	7a	39/2	39/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	155								7
7	7	7	7a	20	20	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	156								7
7	7	7	7a	41/2	41/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	157								7
7	7	7	7a	18	18	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	158			articStaccatissimoAbove
7	7	7	7a	19	19	0.5	1/4	1/4	Chord	3/4	3	1	1/8	1/8	1	159								8
7	7	7	7a	39/2	39/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	160								8
