mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
24	24	24	24a	47	47	1.0	1/4	1/4	2/4	25	1	1/4	1/4	1		-5	37	Db2	2	130
24	24	24	24a	47	47	1.0	1/4	1/4	2/4	24	1	1/4	1/4	1		-5	49	Db3	3	128
25	25	25	25a	48	48	1.0	0	0	2/4	25	1	1/4	1/4	1		0	36	C2	2	137
25	25	25	25a	48	48	1.0	0	0	2/4	24	1	1/4	1/4	1		0	48	C3	3	134
25	25	25	25a	48	48	2.0	0	0	2/4	23	1	1/2	1/2	1	-1	-5	61	Db4	4	133
25	25	25	25a	48	48	2.0	0	0	2/4	22	1	1/2	1/2	1	-1	-2	70	Bb4	4	132
25	25	25	25a	48	48	2.0	0	0	2/4	21	1	1/2	1/2	1	-1	-5	73	Db5	5	131
25	25	25	25a	49	49	0.5	1/4	1/4	2/4	25	1	1/8	1/8	1		-5	37	Db2	2	138
25	25	25	25a	49	49	0.5	1/4	1/4	2/4	24	1	1/8	1/8	1		-5	49	Db3	3	135
25	25	25	25a	99/2	99/2	0.5	3/8	3/8	2/4	25	1	1/8	1/8	1		-3	39	Eb2	2	139
25	25	25	25a	99/2	99/2	0.5	3/8	3/8	2/4	24	1	1/8	1/8	1		-3	51	Eb3	3	136
26	26	26	26a	50	50	1.0	0	0	2/4	25	1	1/4	1/4	1		-1	41	F2	2	144
26	26	26	26a	50	50	1.0	0	0	2/4	24	1	1/4	1/4	1		-1	53	F3	3	143
26	26	26	26a	50	50	2.0	0	0	2/4	23	1	1/2	1/2	1		0	60	C4	4	142
26	26	26	26a	50	50	2.0	0	0	2/4	22	1	1/2	1/2	1		3	69	A4	4	141
26	26	26	26a	50	50	2.0	0	0	2/4	21	1	1/2	1/2	1		0	72	C5	5	140
27	27	27	27a	52	52	1.0	0	0	2/4	25	1	1/4	1/4	1		-2	34	Bb1	1	151
27	27	27	27a	52	52	1.0	0	0	2/4	24	1	1/4	1/4	1		-2	46	Bb2	2	148
27	27	27	27a	52	52	2.0	0	0	2/4	23	1	1/2	1/2	1		-7	59	Cb4	4	147
