mc	mn	mc_playthrough	mn_playthrough	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
83	83	231	83b	460	2.0	0	2/4	1/2	0										84
84	84	232	84b	462	2.0	0	2/4	1/2	0										85
85	85	233	85b	464	2.0	0	2/4	1/2	0										86
86	86	234	86b	466	2.0	0	2/4	1/2	0										87
87	87	235	87b	468	2.0	0	2/4	1/2	0										88
88	88	236	88b	470	2.0	0	2/4	1/2	0										89
89	89	237	89b	472	2.0	0	2/4	1/2	0										90
90	90	238	90b	474	2.0	0	2/4	1/2	0										91
91	91	239	91b	476	2.0	0	2/4	1/2	0										92
92	92	240	92b	478	2.0	0	2/4	1/2	0										93
93	93	241	93b	480	2.0	0	2/4	1/2	0										94
94	94	242	94b	482	2.0	0	2/4	1/2	0										95
95	95	243	95b	484	2.0	0	2/4	1/2	0										96
96	96	244	96b	486	2.0	0	2/4	1/2	0				line						97
97	97	245	97b	488	2.0	0	2/4	1/2	0										98
98	98	246	98b	490	2.0	0	2/4	1/2	0										99
99	99	247	99b	492	2.0	0	2/4	1/2	0										100
100	100	248	100b	494	2.0	0	2/4	1/2	0										101
101	101	249	101b	496	2.0	0	2/4	1/2	0										102
102	102	250	102b	498	2.0	0	2/4	1/2	0										103
103	103	251	103b	500	2.0	0	2/4	1/2	0										104
104	104	252	104b	502	2.0	0	2/4	1/2	0										105
105	105	253	105b	504	2.0	0	2/4	1/2	0										106
106	106	254	106b	506	2.0	0	2/4	1/2	0										107
107	107	255	107b	508	2.0	0	2/4	1/2	0										108
108	108	256	108b	510	2.0	0	2/4	1/2	0										109
109	109	257	109b	512	2.0	0	2/4	1/2	0				line						110
110	110	258	110b	514	2.0	0	2/4	1/2	0										111
111	111	259	111b	516	2.0	0	2/4	1/2	0										112
112	112	260	112b	518	2.0	0	2/4	1/2	0										113
113	113	261	113b	520	2.0	0	2/4	1/2	0										114
114	114	262	114b	522	2.0	0	2/4	1/2	0										115
115	115	263	115b	524	2.0	0	2/4	1/2	0										116
116	116	264	116b	526	2.0	0	2/4	1/2	0										117
117	117	265	117b	528	2.0	0	2/4	1/2	0										118
118	118	266	118b	530	2.0	0	2/4	1/2	0										119
119	119	267	119b	532	2.0	0	2/4	1/2	0										120
120	120	268	120b	534	2.0	0	2/4	1/2	0										121
121	121	269	121b	536	2.0	0	2/4	1/2	0										122
122	122	270	122b	538	2.0	0	2/4	1/2	0										123
123	123	271	123b	540	2.0	0	2/4	1/2	0										124
124	124	272	124b	542	2.0	0	2/4	1/2	0										125
125	125	273	125b	544	2.0	0	2/4	1/2	0				line						126
126	126	274	126b	546	2.0	0	2/4	1/2	0										127
127	127	275	127b	548	2.0	0	2/4	1/2	0										128
128	128	276	128b	550	2.0	0	2/4	1/2	0										129
129	129	277	129b	552	2.0	0	2/4	1/2	0										130
130	130	278	130b	554	2.0	0	2/4	1/2	0										131
131	131	279	131b	556	2.0	0	2/4	1/2	0										132
132	132	280	132b	558	2.0	0	2/4	1/2	0										133
133	133	281	133b	560	2.0	0	2/4	1/2	0										134
134	134	282	134b	562	2.0	0	2/4	1/2	0										135
135	135	283	135b	564	2.0	0	2/4	1/2	0										136
136	136	284	136b	566	2.0	0	2/4	1/2	0										137
137	137	285	137b	568	2.0	0	2/4	1/2	0				line						138
138	138	286	138b	570	2.0	0	2/4	1/2	0										139
139	139	287	139b	572	2.0	0	2/4	1/2	0										140
140	140	288	140b	574	2.0	0	2/4	1/2	0										141
141	141	289	141b	576	2.0	0	2/4	1/2	0										142
142	142	290	142b	578	2.0	0	2/4	1/2	0										143
143	143	291	143b	580	2.0	0	2/4	1/2	0										144
144	144	292	144b	582	2.0	0	2/4	1/2	0										145
145	145	293	145b	584	2.0	0	2/4	1/2	0										146
146	146	294	146b	586	2.0	0	2/4	1/2	0										147
147	147	295	147b	588	2.0	0	2/4	1/2	0										148
148	148	296	148b	590	2.0	0	2/4	1/2	0			double		lastMeasure		start		end	1, -1
