mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	system_text	tempo	qpm	tempo_visible	slur	Trill:trill	crescendo_line	HairPin:2_sempre cresc.	HairPin:2_cresc. sempre	HairPin:2_sempre crescendo	HairPin:2_(cresc.)	diminuendo_line	HairPin:3_sempre diminuendo	HairPin:3_(dim.)	HairPin:3_dimin.	crescendo_hairpin	decrescendo_hairpin
18	18	34	34	1.0	0	0	Chord	2/4	5	1	1/4	1/4	1	99																1					
18	18	35	35	0.0	1/4	1/4	Spanner	2/4	5	1	0																								
18	18	34	34	1.0	0	0	Chord	2/4	9	1	1/4	1/4	1	100																2					
18	18	35	35	0.0	1/4	1/4	Spanner	2/4	9	1	0																								
19	19	36	36	0.0	0	0	Spanner	2/4	1	1	0																								
19	19	36	36	0.0	0	0	Dynamic	2/4	21	1	0					pp																			
19	19	36	36	0.5	0	0	Chord	2/4	21	1	1/8	1/8	1	101	a		articStaccatissimoAbove																		
19	19	73/2	73/2	0.5	1/8	1/8	Chord	2/4	21	1	1/8	1/8	1	102			articStaccatissimoAbove																		
19	19	37	37	0.5	1/4	1/4	Chord	2/4	21	1	1/8	1/8	1	103			articStaccatissimoAbove																		
19	19	75/2	75/2	0.5	3/8	3/8	Chord	2/4	21	1	1/8	1/8	1	104			articStaccatissimoAbove																		
20	20	38	38	0.5	0	0	Chord	2/4	21	1	1/8	1/8	1	105			articStaccatissimoAbove																		
20	20	77/2	77/2	0.5	1/8	1/8	Chord	2/4	21	1	1/8	1/8	1	106			articStaccatissimoAbove																		
20	20	39	39	0.5	1/4	1/4	Chord	2/4	21	1	1/8	1/8	1	107			articStaccatissimoAbove																		
20	20	79/2	79/2	0.5	3/8	3/8	Chord	2/4	21	1	1/8	1/8	1	108			articStaccatissimoAbove																		
21	21	40	40	0.0	0	0	Dynamic	2/4	21	1	0					ppp																			
21	21	40	40	2.0	0	0	Chord	2/4	21	1	1/2	1/2	1	109	X		articAccentAbove																		
