mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
33	33	64	64	1.0	0	0	2/4	25	1	1/4	1/4	1		1	31	G1	1	185
33	33	64	64	1.0	0	0	2/4	24	1	1/4	1/4	1		1	43	G2	2	183
33	33	65	65	1.0	1/4	1/4	2/4	25	1	1/4	1/4	1		2	38	D2	2	186
33	33	65	65	1.0	1/4	1/4	2/4	24	1	1/4	1/4	1		2	50	D3	3	184
34	34	66	66	1.0	0	0	2/4	25	1	1/4	1/4	1		1	31	G1	1	191
34	34	66	66	1.0	0	0	2/4	24	1	1/4	1/4	1		1	43	G2	2	189
34	34	67	67	1.0	1/4	1/4	2/4	25	1	1/4	1/4	1		2	38	D2	2	192
34	34	67	67	1.0	1/4	1/4	2/4	24	1	1/4	1/4	1		2	50	D3	3	190
34	34	67	67	1.0	1/4	1/4	2/4	22	2	1/4	1/4	1	1	5	71	B4	4	188
34	34	67	67	1.0	1/4	1/4	2/4	22	1	1/4	1/4	1	1	2	74	D5	5	187
35	35	68	68	1.0	0	0	2/4	25	1	1/4	1/4	1		1	31	G1	1	205
35	35	68	68	1.0	0	0	2/4	24	1	1/4	1/4	1		1	43	G2	2	203
35	35	68	68	0.5	0	0	2/4	23	1	1/8	1/8	1		2	62	D4	4	199
35	35	68	68	1.0	0	0	2/4	22	2	1/4	1/4	1	-1	5	71	B4	4	197
35	35	68	68	1.0	0	0	2/4	22	1	1/4	1/4	1	-1	2	74	D5	5	195
35	35	68	68	2.0	0	0	2/4	3	1	1/2	1/2	1	1	2	74	D5	5	193
35	35	68	68	2.0	0	0	2/4	4	1	1/2	1/2	1	1	2	74	D5	5	194
35	35	137/2	137/2	0.5	1/8	1/8	2/4	23	1	1/8	1/8	1		7	61	C#4	4	200
35	35	69	69	1.0	1/4	1/4	2/4	25	1	1/4	1/4	1		2	38	D2	2	206
35	35	69	69	1.0	1/4	1/4	2/4	24	1	1/4	1/4	1		2	50	D3	3	204
35	35	69	69	0.5	1/4	1/4	2/4	23	1	1/8	1/8	1		2	62	D4	4	201
35	35	69	69	1.0	1/4	1/4	2/4	22	2	1/4	1/4	1		3	69	A4	4	198
35	35	69	69	1.0	1/4	1/4	2/4	22	1	1/4	1/4	1		0	72	C5	5	196
35	35	139/2	139/2	0.5	3/8	3/8	2/4	23	1	1/8	1/8	1		7	61	C#4	4	202
36	36	70	70	1.0	0	0	2/4	25	1	1/4	1/4	1		1	31	G1	1	221
