mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
36	36	70	70	1.0	0	0	2/4	24	1	1/4	1/4	1		1	43	G2	2	219
36	36	70	70	0.5	0	0	2/4	23	1	1/8	1/8	1		2	62	D4	4	215
36	36	70	70	1.0	0	0	2/4	22	2	1/4	1/4	1		1	67	G4	4	213
36	36	70	70	1.0	0	0	2/4	22	1	1/4	1/4	1		5	71	B4	4	211
36	36	70	70	1.0	0	0	2/4	3	1	1/4	1/4	1	-1	2	74	D5	5	207
36	36	70	70	2.0	0	0	2/4	4	1	1/2	1/2	1	0	2	74	D5	5	210
36	36	141/2	141/2	0.5	1/8	1/8	2/4	23	1	1/8	1/8	1		7	61	C#4	4	216
36	36	71	71	1.0	1/4	1/4	2/4	25	1	1/4	1/4	1		2	38	D2	2	222
36	36	71	71	1.0	1/4	1/4	2/4	24	1	1/4	1/4	1		2	50	D3	3	220
36	36	71	71	0.5	1/4	1/4	2/4	23	1	1/8	1/8	1		2	62	D4	4	217
36	36	71	71	1.0	1/4	1/4	2/4	22	2	1/4	1/4	1		2	62	D4	4	214
36	36	71	71	1.0	1/4	1/4	2/4	22	1	1/4	1/4	1		3	69	A4	4	212
36	36	71	71	0.5	1/4	1/4	2/4	3	1	1/8	1/8	1		4	76	E5	5	208
36	36	143/2	143/2	0.5	3/8	3/8	2/4	23	1	1/8	1/8	1		7	61	C#4	4	218
36	36	143/2	143/2	0.5	3/8	3/8	2/4	3	1	1/8	1/8	1		6	78	F#5	5	209
37	37	72	72	1.0	0	0	2/4	25	1	1/4	1/4	1		1	31	G1	1	236
37	37	72	72	1.0	0	0	2/4	24	1	1/4	1/4	1		1	43	G2	2	234
37	37	72	72	1.0	0	0	2/4	22	2	1/4	1/4	1		5	59	B3	3	228
37	37	72	72	0.5	0	0	2/4	23	1	1/8	1/8	1		2	62	D4	4	230
37	37	72	72	1.0	0	0	2/4	22	1	1/4	1/4	1		1	67	G4	4	225
37	37	72	72	2.0	0	0	2/4	4	1	1/2	1/2	1	0	2	74	D5	5	224
37	37	72	72	2.0	0	0	2/4	3	1	1/2	1/2	1		1	79	G5	5	223
37	37	145/2	145/2	0.5	1/8	1/8	2/4	23	1	1/8	1/8	1		7	61	C#4	4	231
37	37	73	73	1.0	1/4	1/4	2/4	25	1	1/4	1/4	1		2	38	D2	2	237
37	37	73	73	1.0	1/4	1/4	2/4	24	1	1/4	1/4	1		2	50	D3	3	235
37	37	73	73	0.5	1/4	1/4	2/4	23	1	1/8	1/8	1		2	62	D4	4	232
37	37	73	73	1.0	1/4	1/4	2/4	22	2	1/4	1/4	1	1	1	67	G4	4	229
37	37	73	73	0.5	1/4	1/4	2/4	22	1	1/8	1/8	1		3	69	A4	4	226
37	37	147/2	147/2	0.5	3/8	3/8	2/4	23	1	1/8	1/8	1		7	61	C#4	4	233
37	37	147/2	147/2	0.5	3/8	3/8	2/4	22	1	1/8	1/8	1		5	71	B4	4	227
38	38	74	74	1.0	0	0	2/4	25	1	1/4	1/4	1		1	31	G1	1	251
38	38	74	74	1.0	0	0	2/4	24	1	1/4	1/4	1		1	43	G2	2	249
38	38	74	74	0.5	0	0	2/4	23	1	1/8	1/8	1		2	62	D4	4	245
38	38	74	74	0.5	0	0	2/4	22	2	1/8	1/8	1	-1	1	67	G4	4	241
38	38	74	74	2.0	0	0	2/4	22	1	1/2	1/2	1		0	72	C5	5	240
38	38	74	74	2.0	0	0	2/4	4	1	1/2	1/2	1	0	2	74	D5	5	239
38	38	74	74	2.0	0	0	2/4	3	1	1/2	1/2	1		3	81	A5	5	238
38	38	149/2	149/2	0.5	1/8	1/8	2/4	23	1	1/8	1/8	1		3	57	A3	3	246
38	38	149/2	149/2	0.5	1/8	1/8	2/4	22	2	1/8	1/8	1		6	66	F#4	4	242
38	38	75	75	1.0	1/4	1/4	2/4	25	1	1/4	1/4	1		2	38	D2	2	252
38	38	75	75	1.0	1/4	1/4	2/4	24	1	1/4	1/4	1		2	50	D3	3	250
38	38	75	75	0.5	1/4	1/4	2/4	23	1	1/8	1/8	1		2	62	D4	4	247
38	38	75	75	0.5	1/4	1/4	2/4	22	2	1/8	1/8	1		3	69	A4	4	243
38	38	151/2	151/2	0.5	3/8	3/8	2/4	23	1	1/8	1/8	1		3	57	A3	3	248
38	38	151/2	151/2	0.5	3/8	3/8	2/4	22	2	1/8	1/8	1		1	67	G4	4	244
39	39	76	76	1.0	0	0	2/4	25	1	1/4	1/4	1		1	31	G1	1	269
39	39	76	76	1.0	0	0	2/4	24	1	1/4	1/4	1		1	43	G2	2	267
39	39	76	76	0.5	0	0	2/4	23	1	1/8	1/8	1		2	62	D4	4	263
39	39	76	76	0.5	0	0	2/4	22	2	1/8	1/8	1		-1	65	F4	4	259
39	39	76	76	0.5	0	0	2/4	22	1	1/8	1/8	1		5	71	B4	4	255
39	39	76	76	1.0	0	0	2/4	4	1	1/4	1/4	1	-1	2	74	D5	5	254
39	39	76	76	1.0	0	0	2/4	3	1	1/4	1/4	1		1	79	G5	5	253
39	39	153/2	153/2	0.5	1/8	1/8	2/4	23	1	1/8	1/8	1		1	55	G3	3	264
39	39	153/2	153/2	0.5	1/8	1/8	2/4	22	1	1/8	1/8	1		3	69	A4	4	256
39	39	153/2	153/2	0.5	1/8	1/8	2/4	22	2	1/8	1/8	1		3	69	A4	4	260
39	39	77	77	1.0	1/4	1/4	2/4	25	1	1/4	1/4	1		1	43	G2	2	270
39	39	77	77	1.0	1/4	1/4	2/4	24	1	1/4	1/4	1		1	55	G3	3	268
39	39	77	77	0.5	1/4	1/4	2/4	23	1	1/8	1/8	1		2	62	D4	4	265
39	39	77	77	0.5	1/4	1/4	2/4	22	2	1/8	1/8	1		-1	65	F4	4	261
39	39	77	77	0.5	1/4	1/4	2/4	22	1	1/8	1/8	1		5	71	B4	4	257
39	39	155/2	155/2	0.5	3/8	3/8	2/4	23	1	1/8	1/8	1		1	55	G3	3	266
39	39	155/2	155/2	0.5	3/8	3/8	2/4	22	2	1/8	1/8	1		-3	63	Eb4	4	262
39	39	155/2	155/2	0.5	3/8	3/8	2/4	22	1	1/8	1/8	1		0	72	C5	5	258
40	40	78	78	1.0	0	0	2/4	25	1	1/4	1/4	1		1	31	G1	1	282
40	40	78	78	1.0	0	0	2/4	24	1	1/4	1/4	1		1	43	G2	2	280
