mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
142	135	0	0	2/2	1	1	V7/ii		c	I		V7/ii		V		7		ii				Mm7	1	0	3, 7, 4, 1		3	3	0	8	0.0	0.0	1.75	0.0
142	135	1/2	1/2	2/2	1	1	ii		c	I		ii		ii								m	1	0	2, -1, 3		2	2	0	8	0.0	0.0	1.75	0.0
143	136	0	0	2/2	1	1	V7		c	I		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1	0	7	0.0	0.0	1.5	0.0
143	136	1/2	1/2	2/2	1	1	I		c	I		I		I								M	1	0	0, 4, 1		0	0	0	8	0.0	0.0	1.75	0.0
144	137	0	0	2/2	1	1	ii6		c	I		ii6		ii		6						m	1	0	-1, 3, 2		2	-1	3	17	0.15	0.375	2.625	0.125
145	138	0	0	2/2	1	1	V(64)		c	I		V(64)		V			64					M	1	0	1, 0, 4		1	1	1	6	0.14285714285714285	0.125	1.375	0.08333333333333333
145	138	1/2	1/2	2/2	1	1	V7		c	I		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1	2	7	0.2222222222222222	0.25	1.25	0.16666666666666666
146	139	0	0	2/2	1	1	I\\		c	I		I		I							\\	M	1	0	0, 4, 1		0	0	4	10	0.2857142857142857	0.5	2.0	0.2
147	140	0	0	2/2	1	1	I6		c	I		I6		I		6						M	1	0	4, 1, 0		0	4	2	7	0.2222222222222222	0.25	2.25	0.1
148	141	0	0	2/2	1	1	V64		c	I		V64		V		64						M	1	0	2, 1, 5		1	2	4	9	0.3076923076923077	0.5	1.75	0.2222222222222222
149	142	0	0	2/2	1	1	V7		c	I		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1	3	10	0.23076923076923078	0.375	2.875	0.11538461538461539
150	143	0	0	2/2	1	1	i.i		c	i		i		i								m	1	1	0, -3, 1		0	0	4	9	0.3076923076923077	0.5	1.75	0.2222222222222222
151	144	0	0	2/2	1	1	i6		c	i		i6		i		6						m	1	1	-3, 1, 0		0	-3	2	7	0.2222222222222222	0.25	2.25	0.1
152	145	0	0	2/2	1	1	V7/III		c	i		V7/III		V		7		III				Mm7	1	1	-2, 2, -1, -4		-2	-2	7	20	0.25925925925925924	0.875	4.625	0.1590909090909091
154	147	0	0	2/2	1	1	III		c	i		III		III								M	1	1	-3, 1, -2		-3	-3	4	9	0.3076923076923077	0.5	1.75	0.2222222222222222
155	148	0	0	2/2	1	1	III6		c	i		III6		III		6						M	1	1	1, -2, -3		-3	1	2	7	0.2222222222222222	0.25	2.25	0.1
156	149	0	0	2/2	1	1	V7/iv		c	i		V7/iv		V		7		iv				Mm7	1	1	0, 4, 1, -2		0	0	6	17	0.2608695652173913	0.75	4.0	0.15789473684210525
157	150	3/4	3/4	2/2	1	1	V2/iv		c	i		V2/iv		V		2		iv				Mm7	1	1	-2, 0, 4, 1		0	-2	0	3	0.0	0.0	0.75	0.0
158	151	0	0	2/2	1	1	iv6		c	i		iv6		iv		6						m	1	1	-4, 0, -1		-1	-4	6	17	0.2608695652173913	0.75	4.0	0.15789473684210525
160	153	0	0	2/2	1	1	.It6		c	i		It6	It	vii	o	6	b3	V				It	1	1	-4, 0, 6		6	-4	7	20	0.25925925925925924	1.375	4.875	0.22
162	155	0	0	2/2	1	1	V\\		c	i		V		V							\\	M	1	1	1, 5, 2		1	1	0	5	0.0	0.0	1.75	0.0
162	155	1/4	1/4	2/2	1	1	V[V		c	i	V	V		V								M	1	1	1, 5, 2		1	1	0	3	0.0	0.0	0.5	0.0
162	155	1/2	1/2	2/2	1	1	#viio7		c	i		#viio7		#vii	o	7						o7	1	1	5, 2, -1, -4		5	5	0	6	0.0	0.0	1.25	0.0
163	156	0	0	2/2	1	1	VI6		c	i		VI6		VI		6						M	1	1	0, -3, -4		-4	0	2	3	0.4	0.375	0.625	0.375
163	156	1/4	1/4	2/2	1	1	i6		c	i		i6		i		6						m	1	1	-3, 1, 0		0	-3	1	4	0.2	0.125	0.875	0.125
163	156	1/2	1/2	2/2	1	1	#viio6		c	i		#viio6		#vii	o	6						o	1	1	2, -1, 5		5	2	2	3	0.4	0.375	0.625	0.375
163	156	3/4	3/4	2/2	1	1	#viio43/V		c	i		#viio43/V		#vii	o	43		V				o7	1	1	0, -3, 6, 3		6	0	2	3	0.4	0.375	0.625	0.375
164	157	0	0	2/2	1	1	V6		c	i		V6		V		6						M	1	1	5, 2, 1		1	5	0	8	0.0	0.0	2.25	0.0
