mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
42	41	42	41a	331/4	331/4	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		7	61	C#4	4	387
42	41	42	41a	331/4	331/4	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		7	73	C#5	5	387
43	42	43	42a	83	83	0.25		0	0	2/4	2	1	1/16		1/16	1		8	44	G#2	2	399
43	42	43	42a	83	83	0.5		0	0	2/4	1	1	1/8		1/8	1		2	62	D4	4	396
43	42	43	42a	83	83	0.5		0	0	2/4	1	1	1/8		1/8	1		2	74	D5	5	396
43	42	43	42a	333/4	333/4	0.25		1/16	1/16	2/4	2	1	1/16		1/16	1		6	42	F#2	2	400
43	42	43	42a	167/2	167/2	0.25		1/8	1/8	2/4	2	1	1/16		1/16	1		4	40	E2	2	401
43	42	43	42a	167/2	167/2	1.0		1/8	1/8	2/4	1	1	1/4		1/4	1		4	64	E4	4	397
43	42	43	42a	167/2	167/2	1.0		1/8	1/8	2/4	1	1	1/4		1/4	1		4	76	E5	5	397
43	42	43	42a	335/4	335/4	0.25		3/16	3/16	2/4	2	1	1/16		1/16	1		8	44	G#2	2	402
43	42	43	42a	84	84	0.25		1/4	1/4	2/4	2	1	1/16		1/16	1		3	45	A2	2	403
43	42	43	42a	337/4	337/4	0.25		5/16	5/16	2/4	2	1	1/16		1/16	1		5	47	B2	2	404
43	42	43	42a	169/2	169/2	0.25		3/8	3/8	2/4	2	1	1/16		1/16	1		7	49	C#3	3	405
43	42	43	42a	169/2	169/2	0.5		3/8	3/8	2/4	1	1	1/8		1/8	1		3	69	A4	4	398
43	42	43	42a	169/2	169/2	0.5		3/8	3/8	2/4	1	1	1/8		1/8	1		7	73	C#5	5	398
43	42	43	42a	339/4	339/4	0.25		7/16	7/16	2/4	2	1	1/16		1/16	1		2	50	D3	3	406
