mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
34	30	103	30b	561/2	177/2	1.5	0	0	6/8	1	1	V65	F	vi		V65	V		65					Mm7	0	1	5, 2, -1, 1		1	5
34	30	103	30b	282	90	1.5	3/8	3/8	6/8	1	1	i6	F	vi		i6	i		6					m	0	1	-3, 1, 0		0	-3
35	31	104	31b	567/2	183/2	1.5	0	0	6/8	1	1	V65	F	vi		V65	V		65					Mm7	0	1	5, 2, -1, 1		1	5
35	31	104	31b	285	93	1.5	3/8	3/8	6/8	1	1	i6	F	vi		i6	i		6					m	0	1	-3, 1, 0		0	-3
36	32	105	32b	573/2	189/2	1.5	0	0	6/8	1	1	V65	F	vi		V65	V		65					Mm7	0	1	5, 2, -1, 1		1	5
36	32	105	32b	288	96	1.5	3/8	3/8	6/8	1	1	i6	F	vi		i6	i		6					m	0	1	-3, 1, 0		0	-3
37	33	106	33b	579/2	195/2	1.5	0	0	6/8	1	1	V65	F	vi		V65	V		65					Mm7	0	1	5, 2, -1, 1		1	5
37	33	106	33b	291	99	1.0	3/8	3/8	6/8	1	1	i(4)	F	vi		i(4)	i			4				m	0	1	0, -1, 1		0	0
37	33	106	33b	292	100	0.5	5/8	5/8	6/8	1	1	i	F	vi		i	i							m	0	1	0, -3, 1		0	0
38	34	107	34b	585/2	201/2	1.5	0	0	6/8	1	1	V|HC.SIM}	F	vi		V	V					HC.SIM	}	M	0	1	1, 5, 2		1	1
38	34	107	34b	294	102	1.5	3/8	3/8	6/8	1	1	i6{	F	vi		i6	i		6				{	m	0	1	-3, 1, 0		0	-3
39	35	108	35b	591/2	207/2	1.5	0	0	6/8	1	1	IV7(9)	F	vi		IV7(9)	IV		7	9				Mm7	0	1	-1, 3, 0, -3	1	-1	-1
39	35	108	35b	297	105	1.5	3/8	3/8	6/8	1	1	V7	F	vi		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
40	36	109	36b	597/2	213/2	1.5	0	0	6/8	1	1	VI	F	vi		VI	VI							M	0	1	-4, 0, -3		-4	-4
40	36	109	36b	300	108	1.5	3/8	3/8	6/8	1	1	i6	F	vi		i6	i		6					m	0	1	-3, 1, 0		0	-3
41	37	110	37b	603/2	219/2	1.5	0	0	6/8	1	1	IV7(9)	F	vi		IV7(9)	IV		7	9				Mm7	0	1	-1, 3, 0, -3	1	-1	-1
41	37	110	37b	303	111	1.5	3/8	3/8	6/8	1	1	V7	F	vi		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
42	38	111	38b	609/2	225/2	1.5	0	0	6/8	1	1	VI	F	vi		VI	VI							M	0	1	-4, 0, -3		-4	-4
42	38	111	38b	306	114	1.5	3/8	3/8	6/8	1	1	#viio43	F	vi		#viio43	#vii	o	43					o7	0	1	-1, -4, 5, 2		5	-1
43	39	112	39b	615/2	231/2	1.0	0	0	6/8	1	1	i6	F	vi		i6	i		6					m	0	1	-3, 1, 0		0	-3
43	39	112	39b	617/2	233/2	0.5	1/4	1/4	6/8	1	1	ii%65	F	vi		ii%65	ii	%	65					%7	0	1	-1, -4, 0, 2		2	-1
43	39	112	39b	309	117	1.0	3/8	3/8	6/8	1	1	V(64)	F	vi		V(64)	V			64				M	0	1	1, 0, -3		1	1
43	39	112	39b	310	118	0.5	5/8	5/8	6/8	1	1	V	F	vi		V	V							M	0	1	1, 5, 2		1	1
44	40	113	40b	621/2	237/2	1.5	0	0	6/8	1	1	i|PAC}	F	vi		i	i					PAC	}	m	0	1	0, -3, 1		0	0
44	40	113	40b	312	120	1.5	3/8	3/8	6/8	1	1	I.IV{	F	I		IV	IV						{	M	0	0	-1, 3, 0		-1	-1
45	41	114	41b	627/2	243/2	1.5	0	0	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
45	41	114	41b	315	123	1.5	3/8	3/8	6/8	1	1	V43	F	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
46	42	115	42b	633/2	249/2	1.5	0	0	6/8	1	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
46	42	115	42b	318	126	1.5	3/8	3/8	6/8	1	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
47	43	116	43b	639/2	255/2	1.5	0	0	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
47	43	116	43b	321	129	1.5	3/8	3/8	6/8	1	1	V43	F	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
48	44	117	44b	645/2	261/2	1.5	0	0	6/8	1	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
48	44	117	44b	324	132	1.5	3/8	3/8	6/8	1	1	V.IV	F	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
49	45	118	45b	651/2	267/2	1.5	0	0	6/8	1	1	I6	F	V		I6	I		6					M	0	0	4, 1, 0		0	4
49	45	118	45b	327	135	1.5	3/8	3/8	6/8	1	1	V43	F	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
50	46	119	46b	657/2	273/2	1.5	0	0	6/8	1	1	I	F	V		I	I							M	0	0	0, 4, 1		0	0
50	46	119	46b	330	138	1.5	3/8	3/8	6/8	1	1	IV	F	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
51	47	120	47b	663/2	279/2	1.5	0	0	6/8	1	1	I6	F	V		I6	I		6					M	0	0	4, 1, 0		0	4
51	47	120	47b	333	141	1.5	3/8	3/8	6/8	1	1	V43	F	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
52	48	121	48b	669/2	285/2	1.5	0	0	6/8	1	1	I|IAC}	F	V		I	I					IAC	}	M	0	0	0, 4, 1		0	0
52	48	121	48b	336	144	1.5	3/8	3/8	6/8	1	1	I.vi{	F	I		vi	vi						{	m	0	0	3, 0, 4		3	3
53	49	122	49b	675/2	291/2	1.5	0	0	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
53	49	122	49b	339	147	1.5	3/8	3/8	6/8	1	1	vi	F	I		vi	vi							m	0	0	3, 0, 4		3	3
54	50	123	50b	681/2	297/2	1.5	0	0	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
54	50	123	50b	342	150	1.5	3/8	3/8	6/8	1	1	vi	F	I		vi	vi							m	0	0	3, 0, 4		3	3
55	51	124	51b	687/2	303/2	1.5	0	0	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
55	51	124	51b	345	153	1.5	3/8	3/8	6/8	1	1	vi	F	I		vi	vi							m	0	0	3, 0, 4		3	3
56	52	125	52b	693/2	309/2	1.5	0	0	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
56	52	125	52b	348	156	0.5	3/8	3/8	6/8	1	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
56	52	125	52b	697/2	313/2	0.5	1/2	1/2	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
56	52	125	52b	349	157	0.5	5/8	5/8	6/8	1	1	V43	F	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
57	53	126	53b	699/2	315/2	0.5	0	0	6/8	1	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
57	53	126	53b	350	158	0.5	1/8	1/8	6/8	1	1	V43	F	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
57	53	126	53b	701/2	317/2	0.5	1/4	1/4	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
57	53	126	53b	351	159	0.5	3/8	3/8	6/8	1	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
57	53	126	53b	703/2	319/2	0.5	1/2	1/2	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
57	53	126	53b	352	160	0.5	5/8	5/8	6/8	1	1	V43	F	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
58	54	127	54b	705/2	321/2	1.5	0	0	6/8	1	1	I|PAC}	F	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
6	4	128	54b	354	12	1.5	0	3/8	6/8	1	1	I{	F	I		I	I						{	M	0	0	0, 4, 1		0	0
7	5	129	5d	711/2	27/2	1.5	0	0	6/8	1	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
7	5	129	5d	357	15	1.5	3/8	3/8	6/8	1	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
8	6	130	6d	717/2	33/2	1.5	0	0	6/8	1	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
8	6	130	6d	360	18	1.5	3/8	3/8	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
9	7	131	7d	723/2	39/2	1.5	0	0	6/8	1	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
9	7	131	7d	363	21	1.5	3/8	3/8	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
10	8	132	8d	729/2	45/2	1.5	0	0	6/8	1	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
10	8	132	8d	366	24	1.5	3/8	3/8	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
11	9	133	9d	735/2	51/2	1.5	0	0	6/8	1	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
11	9	133	9d	369	27	0.5	3/8	3/8	6/8	1	1	vi	F	I		vi	vi							m	0	0	3, 0, 4		3	3
11	9	133	9d	739/2	55/2	0.5	1/2	1/2	6/8	1	1	ii65	F	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
11	9	133	9d	370	28	0.5	5/8	5/8	6/8	1	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
12	10	134	10d	741/2	57/2	1.5	0	0	6/8	1	1	I|PAC}	F	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
12	10	134	10d	372	30	1.5	3/8	3/8	6/8	1	1	I6{	F	I		I6	I		6				{	M	0	0	4, 1, 0		0	4
13	11	135	11d	747/2	63/2	1.5	0	0	6/8	1	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
13	11	135	11d	375	33	1.5	3/8	3/8	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
14	12	136	12d	753/2	69/2	1.5	0	0	6/8	1	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
14	12	136	12d	378	36	1.5	3/8	3/8	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
15	13	137	13d	759/2	75/2	1.5	0	0	6/8	1	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
15	13	137	13d	381	39	0.5	3/8	3/8	6/8	1	1	vi	F	I		vi	vi							m	0	0	3, 0, 4		3	3
15	13	137	13d	763/2	79/2	0.5	1/2	1/2	6/8	1	1	ii65	F	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
15	13	137	13d	382	40	0.5	5/8	5/8	6/8	1	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
16	14	138	14e	765/2	81/2	1.5	0	0	6/8	1	1	I|PAC}	F	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
