mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
12	10	30	10b	77/2	29/2	0.5	1/8	1/8	3/8	1	1	1/8		1/8	1		-3	63	Eb4	4	73
12	10	30	10b	155/4	59/4	0.25	3/16	3/16	3/8	2	1	1/16		1/16	1		-1	53	F3	3	76
12	10	30	10b	39	15	0.25	1/4	1/4	3/8	2	1	1/16		1/16	1		-3	51	Eb3	3	77
12	10	30	10b	39	15	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1		-2	70	Bb4	4	74
12	10	30	10b	157/4	61/4	0.25	5/16	5/16	3/8	2	1	1/16		1/16	1		2	50	D3	3	78
13	11	31	11b	79/2	31/2	0.5	0	0	3/8	2	1	1/8		1/8	1		0	48	C3	3	83
13	11	31	11b	79/2	31/2	0.5	0	0	3/8	1	1	1/8		1/8	1		-3	75	Eb5	5	79
13	11	31	11b	40	16	0.0	1/8	1/8	3/8	1	1	0	appoggiatura	1/8	1		2	74	D5	5	80
13	11	31	11b	40	16	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		-1	53	F3	3	84
13	11	31	11b	40	16	0.5	1/8	1/8	3/8	1	1	1/8		1/8	1		0	72	C5	5	81
13	11	31	11b	81/2	33/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		-1	41	F2	2	85
13	11	31	11b	81/2	33/2	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1		-1	77	F5	5	82
14	12	32	12b	41	17	0.75	0	0	3/8	2	1	3/16		1/8	3/2		-2	46	Bb2	2	89
14	12	32	12b	41	17	0.5	0	0	3/8	1	1	1/8		1/8	1		2	74	D5	5	86
14	12	32	12b	83/2	35/2	0.5	1/8	1/8	3/8	1	1	1/8		1/8	1		-2	70	Bb4	4	87
14	12	32	12b	167/4	71/4	0.25	3/16	3/16	3/8	2	1	1/16		1/16	1		3	45	A2	2	90
14	12	32	12b	42	18	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		1	43	G2	2	91
14	12	32	12b	42	18	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1		2	74	D5	5	88
15	13	33	13b	85/2	37/2	0.5	0	0	3/8	2	1	1/8		1/8	1		-3	51	Eb3	3	95
15	13	33	13b	85/2	37/2	0.5	0	0	3/8	1	1	1/8		1/8	1		0	72	C5	5	92
15	13	33	13b	43	19	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		2	50	D3	3	96
15	13	33	13b	43	19	0.5	1/8	1/8	3/8	1	1	1/8		1/8	1		-2	70	Bb4	4	93
15	13	33	13b	87/2	39/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		0	48	C3	3	97
15	13	33	13b	87/2	39/2	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1		3	69	A4	4	94
16	14	34	14b	44	20	0.5	0	0	3/8	2	1	1/8		1/8	1		-2	46	Bb2	2	101
16	14	34	14b	44	20	0.75	0	0	3/8	1	1	3/16		1/8	3/2		2	74	D5	5	98
16	14	34	14b	89/2	41/2	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		3	45	A2	2	102
16	14	34	14b	179/4	83/4	0.25	3/16	3/16	3/8	1	1	1/16		1/16	1		6	66	F#4	4	99
16	14	34	14b	45	21	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		-2	46	Bb2	2	103
16	14	34	14b	45	21	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1		1	67	G4	4	100
17	15	35	15b	91/2	43/2	0.5	0	0	3/8	2	1	1/8		1/8	1		0	48	C3	3	109
17	15	35	15b	91/2	43/2	0.5	0	0	3/8	1	1	1/8		1/8	1		3	69	A4	4	104
17	15	35	15b	46	22	0.0	1/8	1/8	3/8	1	1	0	grace4	1/8	1		3	69	A4	4	105
17	15	35	15b	46	22	0.0	1/8	1/8	3/8	1	1	0	grace4	1/8	1		-2	70	Bb4	4	106
17	15	35	15b	46	22	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		6	42	F#2	2	110
17	15	35	15b	46	22	0.75	1/8	1/8	3/8	1	1	3/16		1/8	3/2		0	72	C5	5	107
17	15	35	15b	93/2	45/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		1	43	G2	2	111
17	15	35	15b	187/4	91/4	0.25	5/16	5/16	3/8	1	1	1/16		1/16	1		-2	70	Bb4	4	108
18	16	36	16b	47	23	0.5	0	0	3/8	2	1	1/8		1/8	1		2	50	D3	3	114
18	16	36	16b	47	23	0.5	0	0	3/8	1	1	1/8		1/8	1		3	69	A4	4	112
18	16	36	16b	95/2	47/2	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		1	43	G2	2	115
18	16	36	16b	95/2	47/2	0.5	1/8	1/8	3/8	1	1	1/8		1/8	1		1	67	G4	4	113
1	0	37	16b	48	0	0.5	0	1/4	3/8	2	1	1/8		1/8	1		0	60	C4	4	1
1	0	37	16b	48	0	0.5	0	1/4	3/8	1	1	1/8		1/8	1		1	67	G4	4	0
