mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
9	8	72	8e	95	11	1.0	0	0	3/8	1	1	i|PAC}	c	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0
28	24	73	24c	96	36	1.25	0	0	3/8	1	1	i.i{	c	i		i	i						{	m	1	1	0, -3, 1		0	0
28	24	73	24c	389/4	149/4	0.75	5/16	5/16	3/8	1	1	iv	c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
29	25	74	25a	98	38	1.5	0	0	3/8	1	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
30	26	75	26a	199/2	79/2	1.5	0	0	3/8	1	1	i6	c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
31	27	76	27a	101	41	0.5	0	0	3/8	1	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1
31	27	76	27a	203/2	83/2	0.5	1/8	1/8	3/8	1	1	IV6	c	i		IV6	IV		6					M	1	1	3, 0, -1		-1	3
31	27	76	27a	102	42	0.5	1/4	1/4	3/8	1	1	V65	c	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
32	28	77	28a	205/2	85/2	1.0	0	0	3/8	1	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
32	28	77	28a	207/2	87/2	0.5	1/4	1/4	3/8	1	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1
33	29	78	29a	104	44	1.0	0	0	3/8	1	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
33	29	78	29a	105	45	0.5	1/4	1/4	3/8	1	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1
34	30	79	30a	211/2	91/2	1.5	0	0	3/8	1	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
35	31	80	31a	107	47	0.5	0	0	3/8	1	1	v6	c	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
35	31	80	31a	215/2	95/2	0.5	1/8	1/8	3/8	1	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
35	31	80	31a	108	48	0.5	1/4	1/4	3/8	1	1	ii%43	c	i		ii%43	ii	%	43					%7	1	1	-4, 0, 2, -1		2	-4
36	32	81	32a	217/2	97/2	1.5	0	0	3/8	1	1	V|HC.PHR}	c	i		V	V					HC.PHR	}	M	1	1	1, 5, 2		1	1
36	32	81	32a	437/4	197/4	0.0	3/16	3/16	3/8	1	1	{	c	i									{		1	1				
37	33	82	33a	110	50	1.5	0	0	3/8	1	1	v.i	c	v		i	i							m	1	1	0, -3, 1		0	0
38	34	83	34a	223/2	103/2	1.5	0	0	3/8	1	1	i6	c	v		i6	i		6					m	1	1	-3, 1, 0		0	-3
39	35	84	35a	113	53	0.5	0	0	3/8	1	1	V	c	v		V	V							M	1	1	1, 5, 2		1	1
39	35	84	35a	227/2	107/2	0.5	1/8	1/8	3/8	1	1	IV6	c	v		IV6	IV		6					M	1	1	3, 0, -1		-1	3
39	35	84	35a	114	54	0.5	1/4	1/4	3/8	1	1	V65	c	v		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
40	36	85	36a	229/2	109/2	0.5	0	0	3/8	1	1	i	c	v		i	i							m	1	1	0, -3, 1		0	0
40	36	85	36a	115	55	1.0	1/8	1/8	3/8	1	1	iv64	c	v		iv64	iv		64					m	1	1	0, -1, -4		-1	0
41	37	86	37a	116	56	0.5	0	0	3/8	1	1	VII7	c	v		VII7	VII		7					Mm7	1	1	-2, 2, -1, -4		-2	-2
41	37	86	37a	233/2	113/2	1.0	1/8	1/8	3/8	1	1	III64	c	v		III64	III		64					M	1	1	-2, -3, 1		-3	-2
42	38	87	38a	235/2	115/2	1.0	0	0	3/8	1	1	VIM7	c	v		VIM7	VI	M	7					MM7	1	1	-4, 0, -3, 1		-4	-4
42	38	87	38a	237/2	117/2	0.5	1/4	1/4	3/8	1	1	ii%43	c	v		ii%43	ii	%	43					%7	1	1	-4, 0, 2, -1		2	-4
43	39	88	39a	119	59	0.5	0	0	3/8	1	1	ii%65	c	v		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
43	39	88	39a	239/2	119/2	0.5	1/8	1/8	3/8	1	1	V(4)	c	v		V(4)	V			4				M	1	1	1, 0, 2		1	1
43	39	88	39a	120	60	0.5	1/4	1/4	3/8	1	1	V	c	v		V	V							M	1	1	1, 5, 2		1	1
44	40	89	40a	241/2	121/2	1.5	0	0	3/8	1	1	I|PAC}	c	v		I	I					PAC	}	M	1	1	0, 4, 1		0	0
44	40	89	40a	485/4	245/4	0.0	3/16	3/16	3/8	1	1	{	c	v									{		1	1				
45	41	90	41a	122	62	1.5	0	0	3/8	1	1	i.V/iv	c	i		V/iv	V				iv			M	1	1	0, 4, 1		0	0
46	42	91	42a	247/2	127/2	1.5	0	0	3/8	1	1	iv	c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
