mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
32	28	43	43	0.25	1/8	1/8	3/8	1	1	1/16		1/16	1		0	72	C5	5	211
32	28	173/4	173/4	0.25	3/16	3/16	3/8	1	1	1/16		1/16	1		2	74	D5	5	212
32	28	87/2	87/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		1	55	G3	3	217
32	28	87/2	87/2	0.375	1/4	1/4	3/8	1	1	3/32		1/16	3/2		2	74	D5	5	213
32	28	351/8	351/8	0.0625	11/32	11/32	3/8	1	1	1/64		1/64	1		0	72	C5	5	214
32	28	703/16	703/16	0.0625	23/64	23/64	3/8	1	1	1/64		1/64	1		2	74	D5	5	215
33	29	44	44	1.0	0	0	3/8	2	1	1/4		1/4	1		0	60	C4	4	225
33	29	44	44	0.25	0	0	3/8	1	1	1/16		1/16	1		-3	75	Eb5	5	218
33	29	177/4	177/4	0.25	1/16	1/16	3/8	1	1	1/16		1/16	1		2	74	D5	5	219
33	29	89/2	89/2	0.25	1/8	1/8	3/8	1	1	1/16		1/16	1		0	72	C5	5	220
33	29	179/4	179/4	0.25	3/16	3/16	3/8	1	1	1/16		1/16	1		2	74	D5	5	221
33	29	45	45	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		1	55	G3	3	226
33	29	45	45	0.375	1/4	1/4	3/8	1	1	3/32		1/16	3/2		2	74	D5	5	222
33	29	363/8	363/8	0.0625	11/32	11/32	3/8	1	1	1/64		1/64	1		0	72	C5	5	223
33	29	727/16	727/16	0.0625	23/64	23/64	3/8	1	1	1/64		1/64	1		2	74	D5	5	224
34	30	91/2	91/2	1.0	0	0	3/8	2	1	1/4		1/4	1		0	60	C4	4	233
34	30	91/2	91/2	0.25	0	0	3/8	1	1	1/16		1/16	1		-3	75	Eb5	5	227
34	30	183/4	183/4	0.25	1/16	1/16	3/8	1	1	1/16		1/16	1		2	74	D5	5	228
34	30	46	46	0.25	1/8	1/8	3/8	1	1	1/16		1/16	1		0	72	C5	5	229
34	30	185/4	185/4	0.25	3/16	3/16	3/8	1	1	1/16		1/16	1		2	74	D5	5	230
34	30	93/2	93/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		0	48	C3	3	234
34	30	93/2	93/2	0.25	1/4	1/4	3/8	1	1	1/16		1/16	1		-3	75	Eb5	5	231
34	30	187/4	187/4	0.25	5/16	5/16	3/8	1	1	1/16		1/16	1		-1	77	F5	5	232
35	31	47	47	0.5	0	0	3/8	2	1	1/8		1/8	1		-2	46	Bb2	2	238
35	31	47	47	0.5	0	0	3/8	1	1	1/8		1/8	1		1	79	G5	5	235
35	31	95/2	95/2	0.25	1/8	1/8	3/8	2	1	1/16		1/16	1		0	48	C3	3	239
35	31	95/2	95/2	0.5	1/8	1/8	3/8	1	1	1/8		1/8	1		1	67	G4	4	236
35	31	191/4	191/4	0.25	3/16	3/16	3/8	2	1	1/16		1/16	1		-2	46	Bb2	2	240
35	31	48	48	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		-4	44	Ab2	2	241
35	31	48	48	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1		0	72	C5	5	237
36	32	97/2	97/2	1.0	0	0	3/8	2	1	1/4		1/4	1		1	43	G2	2	246
36	32	97/2	97/2	0.5	0	0	3/8	1	1	1/8		1/8	1		5	71	B4	4	242
36	32	197/4	197/4	0.25	3/16	3/16	3/8	1	1	1/16		1/16	1		-3	75	Eb5	5	243
36	32	99/2	99/2	0.25	1/4	1/4	3/8	1	1	1/16		1/16	1		2	74	D5	5	244
36	32	199/4	199/4	0.25	5/16	5/16	3/8	1	1	1/16		1/16	1		0	72	C5	5	245
37	33	50	50	0.25	0	0	3/8	1	1	1/16		1/16	1		-2	70	Bb4	4	247
37	33	201/4	201/4	0.25	1/16	1/16	3/8	1	1	1/16		1/16	1		3	69	A4	4	248
37	33	101/2	101/2	0.25	1/8	1/8	3/8	1	1	1/16		1/16	1		1	67	G4	4	249
37	33	203/4	203/4	0.25	3/16	3/16	3/8	2	1	1/16		1/16	1		-3	51	Eb3	3	253
37	33	203/4	203/4	0.25	3/16	3/16	3/8	1	1	1/16		1/16	1		3	69	A4	4	250
37	33	51	51	0.25	1/4	1/4	3/8	2	1	1/16		1/16	1		2	50	D3	3	254
37	33	51	51	0.25	1/4	1/4	3/8	1	1	1/16		1/16	1		-2	70	Bb4	4	251
37	33	205/4	205/4	0.25	5/16	5/16	3/8	2	1	1/16		1/16	1		0	48	C3	3	255
37	33	205/4	205/4	0.25	5/16	5/16	3/8	1	1	1/16		1/16	1		0	72	C5	5	252
38	34	103/2	103/2	0.25	0	0	3/8	2	1	1/16		1/16	1		-2	46	Bb2	2	259
38	34	103/2	103/2	0.75	0	0	3/8	1	1	3/16		1/8	3/2		2	74	D5	5	256
38	34	207/4	207/4	0.25	1/16	1/16	3/8	2	1	1/16		1/16	1		3	45	A2	2	260
38	34	52	52	0.25	1/8	1/8	3/8	2	1	1/16		1/16	1		1	43	G2	2	261
38	34	209/4	209/4	0.25	3/16	3/16	3/8	2	1	1/16		1/16	1		3	45	A2	2	262
38	34	209/4	209/4	0.25	3/16	3/16	3/8	1	1	1/16		1/16	1		2	62	D4	4	257
38	34	105/2	105/2	0.25	1/4	1/4	3/8	2	1	1/16		1/16	1		-2	46	Bb2	2	263
38	34	105/2	105/2	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1		1	67	G4	4	258
38	34	211/4	211/4	0.25	5/16	5/16	3/8	2	1	1/16		1/16	1		0	48	C3	3	264
39	35	53	53	0.25	0	0	3/8	2	1	1/16		1/16	1		2	50	D3	3	268
39	35	53	53	0.5	0	0	3/8	1	1	1/8		1/8	1		6	66	F#4	4	265
39	35	213/4	213/4	0.25	1/16	1/16	3/8	2	1	1/16		1/16	1		6	54	F#3	3	269
39	35	107/2	107/2	0.25	1/8	1/8	3/8	2	1	1/16		1/16	1		4	52	E3	3	270
39	35	107/2	107/2	0.5	1/8	1/8	3/8	1	1	1/8		1/8	1		1	67	G4	4	266
39	35	215/4	215/4	0.25	3/16	3/16	3/8	2	1	1/16		1/16	1		1	55	G3	3	271
39	35	54	54	0.25	1/4	1/4	3/8	2	1	1/16		1/16	1		6	54	F#3	3	272
39	35	54	54	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1		3	69	A4	4	267
39	35	217/4	217/4	0.25	5/16	5/16	3/8	2	1	1/16		1/16	1		3	57	A3	3	273
40	36	109/2	109/2	0.0	0	0	3/8	1	1	0	appoggiatura	1/8	1		3	69	A4	4	274
40	36	109/2	109/2	0.5	0	0	3/8	2	1	1/8		1/8	1		1	55	G3	3	279
40	36	109/2	109/2	0.5	0	0	3/8	1	1	1/8		1/8	1		-2	70	Bb4	4	275
40	36	55	55	0.5	1/8	1/8	3/8	1	1	1/8		1/8	1		-3	75	Eb5	5	276
40	36	111/2	111/2	0.0	1/4	1/4	3/8	1	1	0	appoggiatura	1/8	1		2	74	D5	5	277
40	36	111/2	111/2	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1		0	72	C5	5	278
41	37	56	56	0.5	0	0	3/8	2	1	1/8		1/8	1		-1	53	F3	3	284
41	37	56	56	0.5	0	0	3/8	1	1	1/8		1/8	1		3	69	A4	4	280
41	37	113/2	113/2	0.5	1/8	1/8	3/8	1	1	1/8		1/8	1		2	74	D5	5	281
41	37	57	57	0.0	1/4	1/4	3/8	1	1	0	appoggiatura	1/8	1		0	72	C5	5	282
41	37	57	57	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1		-2	70	Bb4	4	283
42	38	115/2	115/2	0.5	0	0	3/8	2	1	1/8		1/8	1		-3	51	Eb3	3	289
42	38	115/2	115/2	0.75	0	0	3/8	1	1	3/16		1/8	3/2		1	67	G4	4	285
42	38	58	58	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		2	50	D3	3	290
42	38	233/4	233/4	0.25	3/16	3/16	3/8	1	1	1/16		1/16	1		6	66	F#4	4	286
42	38	117/2	117/2	0.0	1/4	1/4	3/8	1	1	0	appoggiatura	1/8	1		6	66	F#4	4	287
42	38	117/2	117/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		-3	51	Eb3	3	291
42	38	117/2	117/2	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1	1	1	67	G4	4	288
43	39	59	59	0.5	0	0	3/8	2	1	1/8		1/8	1		0	48	C3	3	296
43	39	59	59	0.25	0	0	3/8	1	1	1/16		1/16	1	-1	1	67	G4	4	292
43	39	237/4	237/4	0.25	1/16	1/16	3/8	1	1	1/16		1/16	1		3	69	A4	4	293
43	39	119/2	119/2	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		2	50	D3	3	297
43	39	119/2	119/2	0.75	1/8	1/8	3/8	1	1	3/16		1/8	3/2		3	69	A4	4	294
43	39	60	60	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		2	38	D2	2	298
43	39	241/4	241/4	0.25	5/16	5/16	3/8	1	1	1/16		1/16	1		1	67	G4	4	295
44	40	121/2	121/2	0.25	0	0	3/8	2	1	1/16		1/16	1		1	43	G2	2	303
44	40	121/2	121/2	0.5	0	0	3/8	1	1	1/8		1/8	1		1	67	G4	4	299
44	40	243/4	243/4	0.25	1/16	1/16	3/8	2	1	1/16		1/16	1		-4	56	Ab3	3	304
44	40	61	61	0.25	1/8	1/8	3/8	2	1	1/16		1/16	1		1	55	G3	3	305
44	40	245/4	245/4	0.25	3/16	3/16	3/8	2	1	1/16		1/16	1		-1	53	F3	3	306
44	40	245/4	245/4	0.25	3/16	3/16	3/8	1	1	1/16		1/16	1		-4	68	Ab4	4	300
44	40	123/2	123/2	0.25	1/4	1/4	3/8	2	1	1/16		1/16	1		-3	51	Eb3	3	307
44	40	123/2	123/2	0.25	1/4	1/4	3/8	1	1	1/16		1/16	1		1	67	G4	4	301
44	40	247/4	247/4	0.25	5/16	5/16	3/8	2	1	1/16		1/16	1		2	50	D3	3	308
44	40	247/4	247/4	0.25	5/16	5/16	3/8	1	1	1/16		1/16	1		-1	65	F4	4	302
45	41	62	62	0.25	0	0	3/8	2	1	1/16		1/16	1		0	48	C3	3	312
45	41	62	62	0.5	0	0	3/8	1	1	1/8		1/8	1		4	64	E4	4	309
45	41	249/4	249/4	0.25	1/16	1/16	3/8	2	1	1/16		1/16	1		-5	49	Db3	3	313
45	41	125/2	125/2	0.25	1/8	1/8	3/8	2	1	1/16		1/16	1		0	48	C3	3	314
45	41	125/2	125/2	0.5	1/8	1/8	3/8	1	1	1/8		1/8	1		0	60	C4	4	310
45	41	251/4	251/4	0.25	3/16	3/16	3/8	2	1	1/16		1/16	1		-2	46	Bb2	2	315
45	41	63	63	0.25	1/4	1/4	3/8	2	1	1/16		1/16	1		-4	44	Ab2	2	316
45	41	63	63	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1		1	67	G4	4	311
45	41	253/4	253/4	0.25	5/16	5/16	3/8	2	1	1/16		1/16	1		1	43	G2	2	317
46	42	127/2	127/2	0.0	0	0	3/8	1	1	0	appoggiatura	1/8	1		1	67	G4	4	318
46	42	127/2	127/2	0.25	0	0	3/8	2	1	1/16		1/16	1		-1	41	F2	2	323
46	42	127/2	127/2	0.75	0	0	3/8	1	1	3/16		1/8	3/2		-4	68	Ab4	4	319
46	42	255/4	255/4	0.25	1/16	1/16	3/8	2	1	1/16		1/16	1		1	55	G3	3	324
46	42	64	64	0.25	1/8	1/8	3/8	2	1	1/16		1/16	1		-1	53	F3	3	325
46	42	257/4	257/4	0.25	3/16	3/16	3/8	2	1	1/16		1/16	1		-3	51	Eb3	3	326
46	42	257/4	257/4	0.25	3/16	3/16	3/8	1	1	1/16		1/16	1		1	67	G4	4	320
46	42	129/2	129/2	0.25	1/4	1/4	3/8	2	1	1/16		1/16	1		2	50	D3	3	327
46	42	129/2	129/2	0.25	1/4	1/4	3/8	1	1	1/16		1/16	1		-1	65	F4	4	321
46	42	259/4	259/4	0.25	5/16	5/16	3/8	2	1	1/16		1/16	1		0	48	C3	3	328
46	42	259/4	259/4	0.25	5/16	5/16	3/8	1	1	1/16		1/16	1		-3	63	Eb4	4	322
47	43	65	65	0.25	0	0	3/8	2	1	1/16		1/16	1		-2	46	Bb2	2	332
47	43	65	65	0.5	0	0	3/8	1	1	1/8		1/8	1		2	62	D4	4	329
47	43	261/4	261/4	0.25	1/16	1/16	3/8	2	1	1/16		1/16	1		0	48	C3	3	333
47	43	131/2	131/2	0.25	1/8	1/8	3/8	2	1	1/16		1/16	1		-2	46	Bb2	2	334
