mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	thoroughbass_level_4	slur
34	30	187/4	187/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	232													
34	30	91/2	91/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	233													
34	30	93/2	93/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	234													
35	31	47	47	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	235													
35	31	95/2	95/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	236													
35	31	48	48	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	237													
35	31	47	47	0.0	0	0	FiguredBass	3/8	2	1	0												1/8	6				
35	31	47	47	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	238													
35	31	95/2	95/2	0.0	1/8	1/8	FiguredBass	3/8	2	1	0												1/8	3_				
35	31	95/2	95/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	239													
35	31	191/4	191/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	240													
35	31	48	48	0.0	1/4	1/4	FiguredBass	3/8	2	1	0												1/8	6	4+	3		
35	31	48	48	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	241													
36	32	97/2	97/2	0.0	0	0	StaffText	3/8	1	1	0						)											
36	32	97/2	97/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	242	ornamentShortTrill												
36	32	197/4	197/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	243													
36	32	99/2	99/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	244													
36	32	199/4	199/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	245													
36	32	97/2	97/2	0.0	0	0	FiguredBass	3/8	2	1	0												1/4	h3				
36	32	97/2	97/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	246													
37	33	50	50	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	247	ornamentShortTrill												
37	33	201/4	201/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	248													
37	33	101/2	101/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	249													
37	33	203/4	203/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	250													
37	33	51	51	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	251													
37	33	205/4	205/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	252													
37	33	203/4	203/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	253													
37	33	51	51	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	254													
37	33	205/4	205/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	255													
38	34	103/2	103/2	0.75	0	0	Chord	3/8	1	1	3/16		1/8	3/2	256													
38	34	209/4	209/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	257													
38	34	105/2	105/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	258													
38	34	103/2	103/2	0.0	0	0	FiguredBass	3/8	2	1	0												3/8	6_				
38	34	103/2	103/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	259													
38	34	207/4	207/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	260													
38	34	52	52	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	261													
38	34	209/4	209/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	262													
38	34	105/2	105/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	263													
38	34	211/4	211/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	264													
39	35	53	53	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	265	ornamentShortTrill												
39	35	107/2	107/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	266													
39	35	54	54	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	267													
39	35	53	53	0.0	0	0	FiguredBass	3/8	2	1	0												1/8	#3_				
39	35	53	53	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	268													
39	35	213/4	213/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	269													
39	35	107/2	107/2	0.0	1/8	1/8	FiguredBass	3/8	2	1	0												1/8	6_				
39	35	107/2	107/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	270													
39	35	215/4	215/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	271													
39	35	54	54	0.0	1/4	1/4	FiguredBass	3/8	2	1	0												1/8	5/_				
39	35	54	54	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	272													
39	35	217/4	217/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	273													
40	36	109/2	109/2	0.0	0	0	StaffText	3/8	1	1	0						)											
40	36	109/2	109/2	0.0	0	0	Chord	3/8	1	1	0	appoggiatura	1/8	1	274													
40	36	109/2	109/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	275	ornamentMordent												
40	36	55	55	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	276													
40	36	111/2	111/2	0.0	1/4	1/4	Chord	3/8	1	1	0	appoggiatura	1/8	1	277													
40	36	111/2	111/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	278													
40	36	109/2	109/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	279													
40	36	55	55	0.0	1/8	1/8	FiguredBass	3/8	2	1	0												1/8	6	4			
41	37	56	56	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	280	ornamentShortTrill												
41	37	113/2	113/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	281													
41	37	57	57	0.0	1/4	1/4	Chord	3/8	1	1	0	appoggiatura	1/8	1	282													
41	37	57	57	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	283													
41	37	56	56	0.0	0	0	FiguredBass	3/8	2	1	0												1/8	7				
41	37	56	56	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	284													
41	37	113/2	113/2	0.0	1/8	1/8	FiguredBass	3/8	2	1	0												1/8	6	4			
42	38	115/2	115/2	0.75	0	0	Chord	3/8	1	1	3/16		1/8	3/2	285	ornamentShortTrill												
42	38	233/4	233/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	286													
42	38	117/2	117/2	0.0	1/4	1/4	Chord	3/8	1	1	0	appoggiatura	1/8	1	287													
42	38	117/2	117/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	288	ornamentMordent												
42	38	115/2	115/2	0.0	0	0	FiguredBass	3/8	2	1	0												1/4	7_				
42	38	115/2	115/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	289													
42	38	58	58	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	290													
42	38	117/2	117/2	0.0	1/4	1/4	FiguredBass	3/8	2	1	0												1/8	6	4+	3		
42	38	117/2	117/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	291													
43	39	59	59	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	292													
43	39	237/4	237/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	293													
43	39	119/2	119/2	0.75	1/8	1/8	Chord	3/8	1	1	3/16		1/8	3/2	294	ornamentShortTrill												
43	39	241/4	241/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	295													
43	39	59	59	0.0	0	0	FiguredBass	3/8	2	1	0												1/8	6	5			
43	39	59	59	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	296													
43	39	119/2	119/2	0.0	1/8	1/8	FiguredBass	3/8	2	1	0												1/8	4				
43	39	119/2	119/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	297													
43	39	60	60	0.0	1/4	1/4	FiguredBass	3/8	2	1	0												1/8	#3				
43	39	60	60	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	298													
44	40	121/2	121/2	0.0	0	0	StaffText	3/8	1	1	0						)											
44	40	121/2	121/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	299													
44	40	245/4	245/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	300													
44	40	123/2	123/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	301													
44	40	247/4	247/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	302													
44	40	121/2	121/2	0.0	0	0	FiguredBass	3/8	2	1	0												1/16	h3				
44	40	121/2	121/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	303													
44	40	243/4	243/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	304													8
44	40	61	61	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	305													8
44	40	245/4	245/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	306													8
44	40	123/2	123/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	307													8
44	40	247/4	247/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	308													
45	41	62	62	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	309	ornamentShortTrill												
45	41	125/2	125/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	310													
45	41	63	63	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	311													
45	41	62	62	0.0	0	0	FiguredBass	3/8	2	1	0												1/16	h3				
45	41	62	62	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	312													
45	41	249/4	249/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	313													9
45	41	125/2	125/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	314													9
45	41	251/4	251/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	315													9
45	41	63	63	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	316													9
45	41	253/4	253/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	317													
46	42	127/2	127/2	0.0	0	0	Chord	3/8	1	1	0	appoggiatura	1/8	1	318													
46	42	127/2	127/2	0.75	0	0	Chord	3/8	1	1	3/16		1/8	3/2	319	ornamentMordent												
46	42	257/4	257/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	320													
46	42	129/2	129/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	321													
46	42	259/4	259/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	322													
46	42	127/2	127/2	0.0	0	0	FiguredBass	3/8	2	1	0												1/16	b3				
46	42	127/2	127/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	323													
46	42	255/4	255/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	324													10
46	42	64	64	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	325													10
46	42	257/4	257/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	326													10
46	42	129/2	129/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	327													10
46	42	259/4	259/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	328													
47	43	65	65	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	329	ornamentShortTrill												
47	43	131/2	131/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	330													
47	43	66	66	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	331													
47	43	65	65	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	332													
47	43	261/4	261/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	333													
47	43	131/2	131/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	334													
47	43	263/4	263/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	335													
47	43	66	66	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	336													
47	43	265/4	265/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	337													
48	44	133/2	133/2	0.0	0	0	StaffText	3/8	1	1	0						♭											
48	44	133/2	133/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	338	ornamentShortTrill												
48	44	267/4	267/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	339													
48	44	67	67	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	340													
48	44	269/4	269/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	341													
48	44	135/2	135/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	342													
48	44	271/4	271/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	343													
48	44	133/2	133/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	344													
48	44	67	67	0.0	1/8	1/8	FiguredBass	3/8	2	1	0												1/4	6_				
48	44	67	67	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	345													
48	44	135/2	135/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	346													
49	45	68	68	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	347	ornamentShortTrill												
49	45	273/4	273/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	348													
49	45	137/2	137/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	349													
49	45	275/4	275/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	350													
49	45	69	69	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	351													
49	45	277/4	277/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	352													
49	45	68	68	0.0	0	0	FiguredBass	3/8	2	1	0												1/8	7				
49	45	68	68	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	353													
49	45	137/2	137/2	0.0	1/8	1/8	FiguredBass	3/8	2	1	0												1/8	6				
49	45	137/2	137/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	354													
49	45	69	69	0.0	1/4	1/4	FiguredBass	3/8	2	1	0												1/8	7				
49	45	69	69	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	355													
50	46	139/2	139/2	0.75	0	0	Chord	3/8	1	1	3/16		1/8	3/2	356	ornamentShortTrill												
50	46	281/4	281/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	357													
50	46	141/2	141/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	358													11
50	46	283/4	283/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	359													
50	46	139/2	139/2	0.0	0	0	FiguredBass	3/8	2	1	0												1/4	h3_				
50	46	139/2	139/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	360													
50	46	70	70	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	361													
50	46	281/4	281/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	362													
50	46	141/2	141/2	0.0	1/4	1/4	FiguredBass	3/8	2	1	0												1/8	5/				
50	46	141/2	141/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	363													
51	47	71	71	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	364													12
51	47	285/4	285/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	365													
51	47	143/2	143/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	366													13
51	47	287/4	287/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	367													
51	47	72	72	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	368	ornamentShortTrill												14
51	47	289/4	289/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	369													
51	47	71	71	0.0	0	0	FiguredBass	3/8	2	1	0												1/8	7	h3			
51	47	71	71	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	370													
51	47	143/2	143/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	371													
51	47	72	72	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	372													
52	48	145/2	145/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	373													15
52	48	291/4	291/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	374													
52	48	73	73	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	375													16
52	48	293/4	293/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	376													
52	48	147/2	147/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	377													17
52	48	295/4	295/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	378													
52	48	145/2	145/2	0.0	0	0	FiguredBass	3/8	2	1	0												3/8	h3_				
52	48	145/2	145/2	0.75	0	0	Chord	3/8	2	1	3/16		1/8	3/2	379													
52	48	293/4	293/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	380													
52	48	147/2	147/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	381													
52	48	295/4	295/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	382													
53	49	74	74	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	383													
53	49	149/2	149/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	384													18
53	49	299/4	299/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	385													
53	49	75	75	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	386													19
53	49	301/4	301/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	387													
53	49	74	74	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	388													
53	49	149/2	149/2	0.0	1/8	1/8	FiguredBass	3/8	2	1	0												1/8	6	5	b3		
53	49	149/2	149/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	389													
53	49	75	75	0.0	1/4	1/4	FiguredBass	3/8	2	1	0												1/8	h3				
53	49	75	75	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	390													
54	50	151/2	151/2	0.0	0	0	Chord	3/8	1	1	0	appoggiatura	1/8	1	391													
54	50	151/2	151/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	392													
54	50	76	76	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	393	ornamentTurn												
54	50	153/2	153/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	394													
54	50	151/2	151/2	0.0	0	0	StaffText	3/8	2	1	0						Reprise du Rondeau, sans renvoi.											
54	50	151/2	151/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	395													
54	50	153/2	153/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	396													
55	51	77	77	0.0	0	0	Chord	3/8	1	1	0	appoggiatura	1/8	1	397													
55	51	77	77	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	398													
55	51	155/2	155/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	399													20
55	51	311/4	311/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	400													
55	51	78	78	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	401													21
55	51	313/4	313/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	402													
55	51	77	77	0.0	0	0	FiguredBass	3/8	2	1	0												1/8	6	5	b3		
55	51	77	77	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	403													
55	51	155/2	155/2	0.0	1/8	1/8	FiguredBass	3/8	2	1	0												1/8	6	4			
55	51	155/2	155/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	404													
55	51	78	78	0.0	1/4	1/4	FiguredBass	3/8	2	1	0												1/8	6	4+	3		
55	51	78	78	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	405													
56	52	157/2	157/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	406	ornamentShortTrill												
56	52	79	79	0.0	1/8	1/8	StaffText	3/8	1	1	0						)											
56	52	79	79	0.0	1/8	1/8	Chord	3/8	1	1	0	appoggiatura	1/8	1	407													
56	52	79	79	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	408													
56	52	159/2	159/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	409													
56	52	157/2	157/2	0.0	0	0	FiguredBass	3/8	2	1	0												1/4	h3_				
56	52	157/2	157/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	410													
56	52	79	79	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	411													
56	52	159/2	159/2	0.0	1/4	1/4	FiguredBass	3/8	2	1	0												1/8	6				
56	52	159/2	159/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	412													
57	53	80	80	0.0	0	0	Chord	3/8	1	1	0	appoggiatura	1/8	1	413													
57	53	80	80	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	414													
57	53	161/2	161/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	415													
57	53	323/4	323/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	416													
57	53	81	81	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	417													
57	53	325/4	325/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	418													
57	53	80	80	0.0	0	0	FiguredBass	3/8	2	1	0												1/4	6	5	b3_		
57	53	80	80	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	419													
57	53	161/2	161/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	420													
57	53	81	81	0.0	1/4	1/4	FiguredBass	3/8	2	1	0												1/8	7	h5			
57	53	81	81	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	421													
58	54	163/2	163/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	422	ornamentShortTrill												
58	54	82	82	0.0	1/8	1/8	Chord	3/8	1	1	0	appoggiatura	1/8	1	423													
58	54	82	82	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	424													
58	54	165/2	165/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	425	ornamentMordent												
58	54	163/2	163/2	0.0	0	0	FiguredBass	3/8	2	1	0												1/4	7	h5	3	2_	
58	54	163/2	163/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	426													
58	54	327/4	327/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	427													
58	54	82	82	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	428													
58	54	329/4	329/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	429													
58	54	165/2	165/2	0.0	1/4	1/4	FiguredBass	3/8	2	1	0												1/8	3				
58	54	165/2	165/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	430													
59	55	83	83	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	431													
59	55	333/4	333/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	432													
59	55	167/2	167/2	0.75	1/8	1/8	Chord	3/8	1	1	3/16		1/8	3/2	433	ornamentShortTrill												22
59	55	337/4	337/4	0.125	5/16	5/16	Chord	3/8	1	1	1/32		1/32	1	434													22
59	55	675/8	675/8	0.125	11/32	11/32	Chord	3/8	1	1	1/32		1/32	1	435													
59	55	83	83	0.0	0	0	FiguredBass	3/8	2	1	0												1/8	6	5	b3		
59	55	83	83	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	436													
59	55	167/2	167/2	0.0	1/8	1/8	FiguredBass	3/8	2	1	0												1/8	h3_				
59	55	167/2	167/2	1.0	1/8	1/8	Chord	3/8	2	1	1/4		1/4	1	437													
59	55	84	84	0.0	1/4	1/4	FiguredBass	3/8	2	1	0												1/8	7				
60	56	169/2	169/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	438													
60	56	169/2	169/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	439													
