mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
18	15	91/2	91/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	154												
18	15	46	46	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	155												
18	15	87/2	87/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	156												29
18	15	44	44	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	157												29
18	15	89/2	89/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	158												
18	15	45	45	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	159												30
18	15	91/2	91/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	160												30
18	15	46	46	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	161												
19	16	93/2	93/2	0.25	0	0	Chord	6/8	1	1	1/16		1/16	1	162												31
19	16	187/4	187/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	163												31
19	16	47	47	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	164												31
19	16	189/4	189/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	165												31
19	16	95/2	95/2	0.0	1/4	1/4	StaffText	6/8	1	1	0						)										
19	16	95/2	95/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	166												
19	16	48	48	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	167												
19	16	93/2	93/2	0.0	0	0	FiguredBass	6/8	2	1	0												1/4	6			
19	16	93/2	93/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	168												
19	16	95/2	95/2	0.0	1/4	1/4	StaffText	6/8	2	1	0						)										
19	16	95/2	95/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	169												
19	16	48	48	0.0	3/8	3/8	FiguredBass	6/8	2	1	0												1/8	6			
19	16	48	48	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	170												32
19	16	97/2	97/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	171	ornamentShortTrill											32
19	16	49	49	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	172												
