mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
7	5	31/2	31/2	0.5	1/2	1/2	6/8	2	1	1/8		1/8	1		4	64	E4	4	64
7	5	31/2	31/2	0.5	1/2	1/2	6/8	1	1	1/8		1/8	1		1	79	G5	5	58
7	5	16	16	0.5	5/8	5/8	6/8	2	1	1/8		1/8	1		2	62	D4	4	65
7	5	16	16	0.5	5/8	5/8	6/8	1	1	1/8		1/8	1		-1	77	F5	5	59
8	6	33/2	33/2	1.5	0	0	6/8	2	1	3/8		1/4	3/2		0	60	C4	4	70
8	6	33/2	33/2	0.5	0	0	6/8	1	1	1/8		1/8	1		4	76	E5	5	66
8	6	17	17	0.5	1/8	1/8	6/8	1	1	1/8		1/8	1		2	74	D5	5	67
8	6	35/2	35/2	0.5	1/4	1/4	6/8	1	1	1/8		1/8	1		0	72	C5	5	68
8	6	18	18	0.5	3/8	3/8	6/8	2	1	1/8		1/8	1		3	57	A3	3	71
8	6	18	18	1.0	3/8	3/8	6/8	1	1	1/4		1/4	1		0	72	C5	5	69
8	6	37/2	37/2	0.5	1/2	1/2	6/8	2	1	1/8		1/8	1		1	55	G3	3	72
8	6	19	19	0.5	5/8	5/8	6/8	2	1	1/8		1/8	1		-1	53	F3	3	73
9	7	39/2	39/2	0.5	0	0	6/8	2	1	1/8		1/8	1		4	52	E3	3	76
9	7	39/2	39/2	1.0	0	0	6/8	1	1	1/4		1/4	1		0	72	C5	5	74
9	7	20	20	0.5	1/8	1/8	6/8	2	1	1/8		1/8	1		2	50	D3	3	77
9	7	41/2	41/2	0.5	1/4	1/4	6/8	2	1	1/8		1/8	1		0	48	C3	3	78
9	7	21	21	0.5	3/8	3/8	6/8	2	1	1/8		1/8	1		3	57	A3	3	79
9	7	21	21	1.0	3/8	3/8	6/8	1	1	1/4		1/4	1		0	72	C5	5	75
9	7	43/2	43/2	0.5	1/2	1/2	6/8	2	1	1/8		1/8	1		1	55	G3	3	80
9	7	22	22	0.5	5/8	5/8	6/8	2	1	1/8		1/8	1		-1	53	F3	3	81
10	8	45/2	45/2	0.5	0	0	6/8	2	1	1/8		1/8	1		4	52	E3	3	86
10	8	45/2	45/2	1.0	0	0	6/8	1	1	1/4		1/4	1		0	72	C5	5	82
10	8	23	23	0.5	1/8	1/8	6/8	2	1	1/8		1/8	1		2	50	D3	3	87
10	8	47/2	47/2	0.5	1/4	1/4	6/8	2	1	1/8		1/8	1		0	48	C3	3	88
10	8	24	24	0.5	3/8	3/8	6/8	2	1	1/8		1/8	1		3	57	A3	3	89
10	8	24	24	0.5	3/8	3/8	6/8	1	1	1/8		1/8	1		-1	77	F5	5	83
10	8	49/2	49/2	0.5	1/2	1/2	6/8	2	1	1/8		1/8	1		1	55	G3	3	90
10	8	49/2	49/2	0.5	1/2	1/2	6/8	1	1	1/8		1/8	1		4	76	E5	5	84
10	8	25	25	0.5	5/8	5/8	6/8	2	1	1/8		1/8	1		-1	53	F3	3	91
10	8	25	25	0.5	5/8	5/8	6/8	1	1	1/8		1/8	1		2	74	D5	5	85
11	9	51/2	51/2	0.5	0	0	6/8	2	1	1/8		1/8	1		4	52	E3	3	100
11	9	51/2	51/2	0.5	0	0	6/8	1	1	1/8		1/8	1		0	72	C5	5	92
11	9	26	26	0.5	1/8	1/8	6/8	2	1	1/8		1/8	1		2	50	D3	3	101
11	9	26	26	0.5	1/8	1/8	6/8	1	1	1/8		1/8	1		2	74	D5	5	93
11	9	53/2	53/2	0.5	1/4	1/4	6/8	2	1	1/8		1/8	1		0	48	C3	3	102
11	9	53/2	53/2	0.5	1/4	1/4	6/8	1	1	1/8		1/8	1		4	76	E5	5	94
11	9	27	27	0.5	3/8	3/8	6/8	2	1	1/8		1/8	1		2	50	D3	3	103
11	9	27	27	0.5	3/8	3/8	6/8	1	1	1/8		1/8	1		-1	77	F5	5	95
11	9	55/2	55/2	0.5	1/2	1/2	6/8	2	1	1/8		1/8	1		-2	46	Bb2	2	104
