mc	mn	mc_playthrough	mn_playthrough	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
55	50	98	50a	357	4.0	-3	2/2	1	0							56
56	51	99	51a	361	4.0	-3	2/2	1	0							57
57	52	100	52a	365	4.0	-3	2/2	1	0							58
58	53	101	53a	369	4.0	-3	2/2	1	0							59
59	54	102	54a	373	4.0	-3	2/2	1	0							60
60	55	103	55a	377	4.0	-3	2/2	1	0							61
61	56	104	56a	381	4.0	-3	2/2	1	0							62
62	57	105	57a	385	4.0	-3	2/2	1	0							63
63	58	106	58a	389	4.0	-3	2/2	1	0							64
64	59	107	59a	393	4.0	-3	2/2	1	0							65
65	60	108	60a	397	4.0	-3	2/2	1	0							66
66	61	109	61a	401	4.0	-3	2/2	1	0							67
67	62	110	62a	405	4.0	-3	2/2	1	0							68
68	63	111	63a	409	4.0	-3	2/2	1	0							69
69	64	112	64a	413	4.0	-3	2/2	1	0							70
70	65	113	65a	417	4.0	-3	2/2	1	0							71
71	66	114	66a	421	4.0	-3	2/2	1	0							72
72	67	115	67a	425	4.0	-3	2/2	1	0							73
73	68	116	68a	429	4.0	-3	2/2	1	0							74
74	69	117	69a	433	4.0	-3	2/2	1	0							75
75	70	118	70a	437	4.0	-3	2/2	1	0							76
76	71	119	71a	441	4.0	-3	2/2	1	0							77
77	72	120	72a	445	3.5	-3	2/2	7/8	0							78
78	72	121	72a	897/2	0.5	0	2/2	1/8	7/8			1			start	79
79	73	122	73a	449	4.0	0	2/2	1	0							80
80	74	123	74a	453	4.0	0	2/2	1	0							81
81	75	124	75a	457	4.0	0	2/2	1	0							82
82	76	125	76a	461	4.0	0	2/2	1	0							83
83	77	126	77a	465	4.0	0	2/2	1	0							84
84	78	127	78a	469	3.5	0	2/2	7/8	0						end	78, 85
78	72	128	78a	945/2	0.5	0	2/2	1/8	7/8			1			start	79
79	73	129	73b	473	4.0	0	2/2	1	0							80
80	74	130	74b	477	4.0	0	2/2	1	0							81
81	75	131	75b	481	4.0	0	2/2	1	0							82
82	76	132	76b	485	4.0	0	2/2	1	0							83
83	77	133	77b	489	4.0	0	2/2	1	0							84
84	78	134	78b	493	3.5	0	2/2	7/8	0						end	78, 85
85	78	135	78b	993/2	0.5	0	2/2	1/8	7/8			1			start	86
86	79	136	79a	497	4.0	0	2/2	1	0							87
87	80	137	80a	501	4.0	0	2/2	1	0							88
88	81	138	81a	505	4.0	0	2/2	1	0							89
89	82	139	82a	509	4.0	0	2/2	1	0							90
90	83	140	83a	513	4.0	0	2/2	1	0							91
91	84	141	84a	517	4.0	0	2/2	1	0							92
92	85	142	85a	521	4.0	0	2/2	1	0							93, 94
93	86	143	86a	525	3.5	0	2/2	7/8	0	1					end	85
85	78	144	86a	1057/2	0.5	0	2/2	1/8	7/8			1			start	86
86	79	145	79b	529	4.0	0	2/2	1	0							87
87	80	146	80b	533	4.0	0	2/2	1	0							88
88	81	147	81b	537	4.0	0	2/2	1	0							89
89	82	148	82b	541	4.0	0	2/2	1	0							90
90	83	149	83b	545	4.0	0	2/2	1	0							91
91	84	150	84b	549	4.0	0	2/2	1	0							92
92	85	151	85b	553	4.0	0	2/2	1	0							93, 94
94	86	152	86b	557	4.0	0	2/2	1	0	2		1				95
95	87	153	87a	561	4.0	-3	2/2	1	0						start	96
96	88	154	88a	565	4.0	-3	2/2	1	0							97
97	89	155	89a	569	4.0	-3	2/2	1	0							98
98	90	156	90a	573	4.0	-3	2/2	1	0							99
99	91	157	91a	577	4.0	-3	2/2	1	0							100
100	92	158	92a	581	4.0	-3	2/2	1	0							101
101	93	159	93a	585	4.0	-3	2/2	1	0							102, 103
102	94	160	94a	589	4.0	-3	2/2	1	0	1					end	95
95	87	161	87b	593	4.0	-3	2/2	1	0						start	96
96	88	162	88b	597	4.0	-3	2/2	1	0							97
97	89	163	89b	601	4.0	-3	2/2	1	0							98
98	90	164	90b	605	4.0	-3	2/2	1	0							99
99	91	165	91b	609	4.0	-3	2/2	1	0							100
100	92	166	92b	613	4.0	-3	2/2	1	0							101
