start;measure
2976.36;1459
2977.88;1460
2979.74;1461
2981.64;1462
2983.273333333;1463
2984.9;1464
2986.88;1465
2988.58;1466
2990.56;1467
2992.302448979;1468
2994.12;1469
2996.106530612;1470
2998.8625;1471
3001.14;1472
3003.64;1473
3005.98;1474
3008.4;1475
3010.7;1476
3013.073877551;1477
3015.2;1478
3017.32;1479
3019.7;1480
3021.92;1481
3024.42;1482
3026.421769967;1483
3028.84;1484
3030.94;1485
3033.38;1486
3035.888979591;1487
3039.279274376;1488
3040.988;1489
3042.66;1490
3044.372;1491
3046;1492
3047.4;1493
3049.18;1494
3050.825;1495
3052.92;1496
3054.88;1497
3056.984;1498
3059.06;1499
3060.24;1500
3062.195;1501
3064.32;1502
3065.82;1503
3067.404081632;1504
3069.34;1505
3071.040714286;1506
3072.673333333;1507
3074.52;1508
3076.5;1509
3078.48;1510
3080.64;1511
3082.06;1512
3083.9;1513
3086.04;1514
3087.88;1515
3089.62;1516
3091.6;1517
3093.46;1518
3095.58;1519
3097.54;1520
3099.26;1521
3101.633333333;1522
3103.2;1523
3105.09;1524
3107.148163265;1525
3109.64;1526
3111.748;1527
3113.72;1528
3115.68;1529
3117.813333333;1530
3119.6;1531
3121.6;1532
3123.824897959;1533
3126;1534
3128.28;1535
3130.393333333;1536
3132.461632653;1537
3134.92;1538
3136.86;1539
3139.14;1540
3141.56;1541
3143.82;1542
3146.04;1543
3148.34;1544
3150.6;1545
3153.14;1546
3155.48;1547
3158.08;1548
3161.66;1549
3165.82;1550
3169.92;1551
3174.22;1552
3178.66;1553
3183.814933333;1554
3189.024705215;1555
3195.687755102;1556
3200.52;1557
3204.565;1558
3207.825;1559
3212.12;1560
3216.279591836;1561
3220.306666667;1562
3223.94;1563
3228.32;1564
3233.12;1565
3236.94;1566
3240.74;1567
3245.62;1568
3249.76;1569
3253.92;1570
3258.18;1571
3262.54;1572
3266.52;1573
3270.22;1574
3273.968;1575
3277.326666667;1576
3280.72;1577
3284.415827664;1578
3287.68;1579
3291.06;1580
3297.84;1581
3303.467;1582
3308.6725;1583
3313.85;1584
3318.88;1585
3324.02;1586
3328.18;1587
3332.58;1588
3338.26;1589
3343.48;1590
3348.9;1591
3353.247692308;1592
3357.866666667;1593
3362.5;1594
3366.9;1595
3371.58;1596
3376.877142857;1597
3382.44;1598
3387.6;1599
3393.117142857;1600
3398.56;1601
3404.04;1602
3409.3;1603
3413.9;1604
3418.293166666;1605
3423.68;1606
3427.92;1607
3431.92;1608
3437.04375;1609
3442.24;1610
3447.52;1611
3452.62;1612
3457.96;1613
3463.8;1614
3468.606077097;1615
3471.973061224;1616
3476.86;1617
3481.029230769;1618
3485.135;1619
3489.3;1620
3493.44;1621
3497.16;1622
3501.26;1623
3505.2;1624
3509.54;1625
3513.74;1626
3518.94;1627
3524.58;1628
3530;1629
3535.18;1630
3540.68;1631
3545.92;1632
3551.48;1633
3556.833333333;1634
3562.52;1635
3567.99;1636
3573.52;1637
3578.98;1638
3584.36;1639
3590.18;1640
3595.7;1641
3601.82;1642
3608.16;1643
3614.7;1644
3620.32;1645
3624.795;1646
3629.18;1647
3631.56;1648
3633.58;1649
3635.88;1650
3637.78;1651
3640.16;1652
3642.32;1653
3644.36;1654
3646.62;1655
3648.74;1656
3650.84;1657
3653.065;1658
3655.24;1659
3657.48;1660
3659.56;1661
3661.74;1662
3663.9;1663
3666.08;1664
3668.23877551;1665
3670.553333333;1666
3672.62;1667
3674.68;1668
3677;1669
3679.24;1670
3681.54;1671
3683.644393424;1672
3686.26;1673
3689.22;1674
3692.22;1675
3695.18;1676
3697.88;1677
3700.96;1678
3704.005;1679
3706.713333333;1680
3709.52;1681
3712.39;1682
3715.24;1683
3718.08;1684
3721.16;1685
3724.3;1686
3727.93;1687
3731.5;1688
3735.18;1689
3738.68526077;1690
3742.22;1691
3745.72;1692
3749.14;1693
3752.74;1694
3756.38;1695
3759.64;1696
3763.18;1697
3766.68;1698
3770.26;1699
3773.72;1700
3777.06;1701
3780.7;1702
3784.3;1703
3787.5;1704
3790.96;1705
3794.24;1706
3797.58;1707
3800.84;1708
3803.68;1709
3807.04;1710
3810.215;1711
3813.46;1712
3816.66;1713
3819.742222222;1714
3823.06;1715
3826.231666667;1716
3829.22;1717
3832.233333333;1718
3835.22;1719
3838.086666667;1720
3841.08;1721
3844.08;1722
3846.98;1723
3850.1;1724
3852.98;1725
3856.2;1726
3859.236535471;1727
3862.84;1728
3864.16;1729
3867.672777778;1730
3870.94;1731
3875.18;1732
3880.56;1732.999
