mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
70	66	112	66a	419	263	2.0	1/2	1/2	2/2	1	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
71	67	113	67a	421	265	2.0	0	0	2/2	1	1		V7/III	c	i		V7/III		V		7		III				Mm7	1	1	-2, 2, -1, -4		-2	-2
71	67	113	67a	423	267	2.0	1/2	1/2	2/2	1	1		III	c	i		III		III								M	1	1	-3, 1, -2		-3	-3
72	68	114	68a	425	269	2.0	0	0	2/2	1	1		VI	c	i		VI		VI								M	1	1	-4, 0, -3		-4	-4
72	68	114	68a	427	271	2.0	1/2	1/2	2/2	1	1		.Ger6	c	i		Ger6	Ger	vii	o	65	b3	V				Ger	1	1	-4, 0, -3, 6		6	-4
73	69	115	69a	429	273	1.0	0	0	2/2	1	1		V\\	c	i		V		V							\\	M	1	1	1, 5, 2		1	1
73	69	115	69a	430	274	1.0	1/4	1/4	2/2	1	1		V2	c	i		V2		V		2						Mm7	1	1	-1, 1, 5, 2		1	-1
73	69	115	69a	431	275	1.0	1/2	1/2	2/2	1	1		i6	c	i		i6		i		6						m	1	1	-3, 1, 0		0	-3
73	69	115	69a	432	276	1.0	3/4	3/4	2/2	1	1		#viio6	c	i		#viio6		#vii	o	6						o	1	1	2, -1, 5		5	2
74	70	116	70a	433	277	5.0	0	0	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
75	71	117	71a	438	282	1.0	1/4	1/4	2/2	1	1		V2/iv	c	i		V2/iv		V		2		iv				Mm7	1	1	-2, 0, 4, 1		0	-2
75	71	117	71a	439	283	1.0	1/2	1/2	2/2	1	1		iv65	c	i		iv65		iv		65						mm7	1	1	-4, 0, -3, -1		-1	-4
75	71	117	71a	440	284	1.0	3/4	3/4	2/2	1	1		V64/iv	c	i		V64/iv		V		64		iv				M	1	1	1, 0, 4		0	1
76	72	118	72a	441	285	1.0	0	0	2/2	1	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
76	72	118	72a	442	286	1.0	1/4	1/4	2/2	1	1		ii%65	c	i		ii%65		ii	%	65						%7	1	1	-1, -4, 0, 2		2	-1
76	72	118	72a	443	287	1.0	1/2	1/2	2/2	1	1		V(64)	c	i		V(64)		V			64					M	1	1	1, 0, -3		1	1
76	72	118	72a	444	288	1.0	3/4	3/4	2/2	1	1		V7	c	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
77	73	119	73a	445	289	4.0	0	0	2/2	1	1		i\\	c	i		i		i							\\	m	1	1	0, -3, 1		0	0
79	74	121	74a	449	293	4.0	0	0	2/2	1	1		I.I	c	I		I		I								M	1	0	0, 4, 1		0	0
80	75	122	75a	453	297	4.0	0	0	2/2	1	1		I[I	c	I	I	I		I								M	1	0	0, 4, 1		0	0
81	76	123	76a	457	301	1.0	0	0	2/2	1	1		IV	c	I		IV		IV								M	1	0	-1, 3, 0		-1	-1
81	76	123	76a	458	302	1.0	1/4	1/4	2/2	1	1		I6	c	I		I6		I		6						M	1	0	4, 1, 0		0	4
81	76	123	76a	459	303	1.0	1/2	1/2	2/2	1	1		IV64	c	I		IV64		IV		64						M	1	0	0, -1, 3		-1	0
81	76	123	76a	460	304	1.0	3/4	3/4	2/2	1	1		III6	c	I		III6		III		6						M	1	0	8, 5, 4		4	8
82	77	124	77a	461	305	1.0	0	0	2/2	1	1		ii6	c	I		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
82	77	124	77a	462	306	1.0	1/4	1/4	2/2	1	1		I6	c	I		I6		I		6						M	1	0	4, 1, 0		0	4
82	77	124	77a	463	307	1.0	1/2	1/2	2/2	1	1		viio6	c	I		viio6		vii	o	6						o	1	0	2, -1, 5		5	2
82	77	124	77a	464	308	1.0	3/4	3/4	2/2	1	1		V.ii6	c	V		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
83	78	125	78a	465	309	2.0	0	0	2/2	1	1		V(64)	c	V		V(64)		V			64					M	1	0	1, 0, 4		1	1
83	78	125	78a	467	311	2.0	1/2	1/2	2/2	1	1		V7	c	V		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
84	79	126	79a	469	313	4.0	0	0	2/2	1	1		I\\	c	V		I		I							\\	M	1	0	0, 4, 1		0	0
79	74	128	74b	473	293	4.0	0	0	2/2	1	1		I.I	c	I		I		I								M	1	0	0, 4, 1		0	0
80	75	129	75b	477	297	4.0	0	0	2/2	1	1		I[I	c	I	I	I		I								M	1	0	0, 4, 1		0	0
81	76	130	76b	481	301	1.0	0	0	2/2	1	1		IV	c	I		IV		IV								M	1	0	-1, 3, 0		-1	-1
81	76	130	76b	482	302	1.0	1/4	1/4	2/2	1	1		I6	c	I		I6		I		6						M	1	0	4, 1, 0		0	4
81	76	130	76b	483	303	1.0	1/2	1/2	2/2	1	1		IV64	c	I		IV64		IV		64						M	1	0	0, -1, 3		-1	0
81	76	130	76b	484	304	1.0	3/4	3/4	2/2	1	1		III6	c	I		III6		III		6						M	1	0	8, 5, 4		4	8
82	77	131	77b	485	305	1.0	0	0	2/2	1	1		ii6	c	I		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
82	77	131	77b	486	306	1.0	1/4	1/4	2/2	1	1		I6	c	I		I6		I		6						M	1	0	4, 1, 0		0	4
82	77	131	77b	487	307	1.0	1/2	1/2	2/2	1	1		viio6	c	I		viio6		vii	o	6						o	1	0	2, -1, 5		5	2
82	77	131	77b	488	308	1.0	3/4	3/4	2/2	1	1		V.ii6	c	V		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
83	78	132	78b	489	309	2.0	0	0	2/2	1	1		V(64)	c	V		V(64)		V			64					M	1	0	1, 0, 4		1	1
83	78	132	78b	491	311	2.0	1/2	1/2	2/2	1	1		V7	c	V		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
84	79	133	79b	493	313	3.0	0	0	2/2	1	1		I\\	c	V		I		I							\\	M	1	0	0, 4, 1		0	0
85	79	134	79b	496	316	1.0	0	3/4	2/2	1	1		V	c	V		V		V								M	1	0	1, 5, 2		1	1
86	80	135	80a	497	317	5.0	0	0	2/2	1	1		I	c	V		I		I								M	1	0	0, 4, 1		0	0
87	81	136	81a	502	322	1.0	1/4	1/4	2/2	1	1		IV64	c	V		IV64		IV		64						M	1	0	0, -1, 3		-1	0
87	81	136	81a	503	323	6.0	1/2	1/2	2/2	1	1		I	c	V		I		I								M	1	0	0, 4, 1		0	0
89	83	138	83a	509	329	1.0	0	0	2/2	1	1		I.V[V	c	I	V	V		V								M	1	0	1, 5, 2		1	1
89	83	138	83a	510	330	1.0	1/4	1/4	2/2	1	1		I	c	I		I		I								M	1	0	0, 4, 1		0	0
89	83	138	83a	511	331	1.0	1/2	1/2	2/2	1	1		V43	c	I		V43		V		43						Mm7	1	0	2, -1, 1, 5		1	2
89	83	138	83a	512	332	1.0	3/4	3/4	2/2	1	1		I6	c	I		I6		I		6						M	1	0	4, 1, 0		0	4
90	84	139	84a	513	333	1.0	0	0	2/2	1	1		IV	c	I		IV		IV								M	1	0	-1, 3, 0		-1	-1
90	84	139	84a	514	334	1.0	1/4	1/4	2/2	1	1		I6	c	I		I6		I		6						M	1	0	4, 1, 0		0	4
90	84	139	84a	515	335	1.0	1/2	1/2	2/2	1	1		IV6	c	I		IV6		IV		6						M	1	0	3, 0, -1		-1	3
90	84	139	84a	516	336	1.0	3/4	3/4	2/2	1	1		iii6	c	I		iii6		iii		6						m	1	0	1, 5, 4		4	1
91	85	140	85a	517	337	1.0	0	0	2/2	1	1		ii6	c	I		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
91	85	140	85a	518	338	1.0	1/4	1/4	2/2	1	1		I6	c	I		I6		I		6						M	1	0	4, 1, 0		0	4
91	85	140	85a	519	339	1.0	1/2	1/2	2/2	1	1		viio6]	c	I		viio6		vii	o	6			]			o	1	0	2, -1, 5		5	2
91	85	140	85a	520	340	1.0	3/4	3/4	2/2	1	1		#viio7/V	c	I		#viio7/V		#vii	o	7		V				o7	1	0	6, 3, 0, -3		6	6
92	86	141	86a	521	341	2.0	0	0	2/2	1	1		V(64)	c	I		V(64)		V			64					M	1	0	1, 0, 4		1	1
92	86	141	86a	523	343	2.0	1/2	1/2	2/2	1	1		V7	c	I		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
93	87	142	87a	525	345	3.0	0	0	2/2	1	1		I	c	I		I		I								M	1	0	0, 4, 1		0	0
85	79	143	87a	528	316	1.0	0	3/4	2/2	1	1		V	c	V		V		V								M	1	0	1, 5, 2		1	1
86	80	144	80b	529	317	5.0	0	0	2/2	1	1		I	c	V		I		I								M	1	0	0, 4, 1		0	0
87	81	145	81b	534	322	1.0	1/4	1/4	2/2	1	1		IV64	c	V		IV64		IV		64						M	1	0	0, -1, 3		-1	0
87	81	145	81b	535	323	6.0	1/2	1/2	2/2	1	1		I	c	V		I		I								M	1	0	0, 4, 1		0	0
89	83	147	83b	541	329	1.0	0	0	2/2	1	1		I.V[V	c	I	V	V		V								M	1	0	1, 5, 2		1	1
89	83	147	83b	542	330	1.0	1/4	1/4	2/2	1	1		I	c	I		I		I								M	1	0	0, 4, 1		0	0
89	83	147	83b	543	331	1.0	1/2	1/2	2/2	1	1		V43	c	I		V43		V		43						Mm7	1	0	2, -1, 1, 5		1	2
89	83	147	83b	544	332	1.0	3/4	3/4	2/2	1	1		I6	c	I		I6		I		6						M	1	0	4, 1, 0		0	4
90	84	148	84b	545	333	1.0	0	0	2/2	1	1		IV	c	I		IV		IV								M	1	0	-1, 3, 0		-1	-1
90	84	148	84b	546	334	1.0	1/4	1/4	2/2	1	1		I6	c	I		I6		I		6						M	1	0	4, 1, 0		0	4
90	84	148	84b	547	335	1.0	1/2	1/2	2/2	1	1		IV6	c	I		IV6		IV		6						M	1	0	3, 0, -1		-1	3
90	84	148	84b	548	336	1.0	3/4	3/4	2/2	1	1		iii6	c	I		iii6		iii		6						m	1	0	1, 5, 4		4	1
91	85	149	85b	549	337	1.0	0	0	2/2	1	1		ii6	c	I		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
91	85	149	85b	550	338	1.0	1/4	1/4	2/2	1	1		I6	c	I		I6		I		6						M	1	0	4, 1, 0		0	4
91	85	149	85b	551	339	1.0	1/2	1/2	2/2	1	1		viio6]	c	I		viio6		vii	o	6			]			o	1	0	2, -1, 5		5	2
91	85	149	85b	552	340	1.0	3/4	3/4	2/2	1	1		#viio7/V	c	I		#viio7/V		#vii	o	7		V				o7	1	0	6, 3, 0, -3		6	6
92	86	150	86b	553	341	2.0	0	0	2/2	1	1		V(64)	c	I		V(64)		V			64					M	1	0	1, 0, 4		1	1
92	86	150	86b	555	343	2.0	1/2	1/2	2/2	1	1		V7	c	I		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
93	87	151	87b	557	345	4.0	0	0	2/2	1	1		I	c	I		I		I								M	1	0	0, 4, 1		0	0
95	88	153	88a	561	349	2.0	0	0	2/2	1	1		i.i	c	i		i		i								m	1	1	0, -3, 1		0	0
95	88	153	88a	563	351	6.0	1/2	1/2	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
97	90	155	90a	569	357	1.0	0	0	2/2	1	1		V6	c	i		V6		V		6						M	1	1	5, 2, 1		1	5
97	90	155	90a	570	358	1.0	1/4	1/4	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
97	90	155	90a	571	359	1.0	1/2	1/2	2/2	1	1		v6	c	i		v6		v		6						m	1	1	-2, 2, 1		1	-2
97	90	155	90a	572	360	1.0	3/4	3/4	2/2	1	1		VIM7	c	i		VIM7		VI	M	7						MM7	1	1	-4, 0, -3, 1		-4	-4
98	91	156	91a	573	361	4.0	0	0	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
99	92	157	92a	577	365	4.0	0	0	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
100	93	158	93a	581	369	3.0	0	0	2/2	1	1		v.iv	c	v		iv		iv								m	1	1	-1, -4, 0		-1	-1
100	93	158	93a	584	372	1.0	3/4	3/4	2/2	1	1		#viio7/V	c	v		#viio7/V		#vii	o	7		V				o7	1	1	6, 3, 0, -3		6	6
101	94	159	94a	585	373	1.0	0	0	2/2	1	1		V(64)	c	v		V(64)		V			64					M	1	1	1, 0, -3		1	1
101	94	159	94a	586	374	1.0	1/4	1/4	2/2	1	1		.Ger6	c	v		Ger6	Ger	vii	o	65	b3	V				Ger	1	1	-4, 0, -3, 6		6	-4
101	94	159	94a	587	375	1.0	1/2	1/2	2/2	1	1		V(64)	c	v		V(64)		V			64					M	1	1	1, 0, -3		1	1
101	94	159	94a	588	376	1.0	3/4	3/4	2/2	1	1		V	c	v		V		V								M	1	1	1, 5, 2		1	1
102	95	160	95a	589	377	4.0	0	0	2/2	1	1	1	i\\	c	v		i		i							\\	m	1	1	0, -3, 1		0	0
95	88	161	88b	593	349	2.0	0	0	2/2	1	1		i.i	c	i		i		i								m	1	1	0, -3, 1		0	0
95	88	161	88b	595	351	6.0	1/2	1/2	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
97	90	163	90b	601	357	1.0	0	0	2/2	1	1		V6	c	i		V6		V		6						M	1	1	5, 2, 1		1	5
97	90	163	90b	602	358	1.0	1/4	1/4	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
97	90	163	90b	603	359	1.0	1/2	1/2	2/2	1	1		v6	c	i		v6		v		6						m	1	1	-2, 2, 1		1	-2
97	90	163	90b	604	360	1.0	3/4	3/4	2/2	1	1		VIM7	c	i		VIM7		VI	M	7						MM7	1	1	-4, 0, -3, 1		-4	-4
98	91	164	91b	605	361	4.0	0	0	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
99	92	165	92b	609	365	4.0	0	0	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
100	93	166	93b	613	369	3.0	0	0	2/2	1	1		v.iv	c	v		iv		iv								m	1	1	-1, -4, 0		-1	-1
100	93	166	93b	616	372	1.0	3/4	3/4	2/2	1	1		#viio7/V	c	v		#viio7/V		#vii	o	7		V				o7	1	1	6, 3, 0, -3		6	6
101	94	167	94b	617	373	1.0	0	0	2/2	1	1		V(64)	c	v		V(64)		V			64					M	1	1	1, 0, -3		1	1
101	94	167	94b	618	374	1.0	1/4	1/4	2/2	1	1		.Ger6	c	v		Ger6	Ger	vii	o	65	b3	V				Ger	1	1	-4, 0, -3, 6		6	-4
101	94	167	94b	619	375	1.0	1/2	1/2	2/2	1	1		V(64)	c	v		V(64)		V			64					M	1	1	1, 0, -3		1	1
101	94	167	94b	620	376	1.0	3/4	3/4	2/2	1	1		V	c	v		V		V								M	1	1	1, 5, 2		1	1
103	96	168	96a	621	381	4.0	0	0	2/2	1	1	2	i	c	v		i		i								m	1	1	0, -3, 1		0	0
104	97	169	97a	625	385	2.0	0	0	2/2	1	1		i.V7/iv	c	i		V7/iv		V		7		iv				Mm7	1	1	0, 4, 1, -2		0	0
104	97	169	97a	627	387	2.0	1/2	1/2	2/2	1	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
105	98	170	98a	629	389	2.0	0	0	2/2	1	1		VII7	c	i		VII7		VII		7						Mm7	1	1	-2, 2, -1, -4		-2	-2
105	98	170	98a	631	391	2.0	1/2	1/2	2/2	1	1		III	c	i		III		III								M	1	1	-3, 1, -2		-3	-3
106	99	171	99a	633	393	2.0	0	0	2/2	1	1		iv6(2)	c	i		iv6(2)		iv		6	2					m	1	1	-4, 0, 1		-1	-4
106	99	171	99a	635	395	1.0	1/2	1/2	2/2	1	1		ii%43	c	i		ii%43		ii	%	43						%7	1	1	-4, 0, 2, -1		2	-4
106	99	171	99a	636	396	1.0	3/4	3/4	2/2	1	1		.It6	c	i		It6	It	vii	o	6	b3	V				It	1	1	-4, 0, 6		6	-4
107	100	172	100a	637	397	4.0	0	0	2/2	1	1		V\\	c	i		V		V							\\	M	1	1	1, 5, 2		1	1
108	101	173	101a	641	401	6.0	0	0	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
109	102	174	102a	647	407	1.0	1/2	1/2	2/2	1	1		VI	c	i		VI		VI								M	1	1	-4, 0, -3		-4	-4
109	102	174	102a	648	408	1.0	3/4	3/4	2/2	1	1		#viio6/iv	c	i		#viio6/iv		#vii	o	6		iv				o	1	1	1, -2, 4		4	1
110	103	175	103a	649	409	1.0	0	0	2/2	1	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
110	103	175	103a	650	410	1.0	1/4	1/4	2/2	1	1		.Ger6	c	i		Ger6	Ger	vii	o	65	b3	V				Ger	1	1	-4, 0, -3, 6		6	-4
110	103	175	103a	651	411	1.0	1/2	1/2	2/2	1	1		V(64)	c	i		V(64)		V			64					M	1	1	1, 0, -3		1	1
110	103	175	103a	652	412	1.0	3/4	3/4	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
111	104	176	104a	653	413	4.0	0	0	2/2	1	1		i\\	c	i		i		i							\\	m	1	1	0, -3, 1		0	0
112	105	177	105a	657	417	2.0	0	0	2/2	1	1		V7/iv	c	i		V7/iv		V		7		iv				Mm7	1	1	0, 4, 1, -2		0	0
112	105	177	105a	659	419	2.0	1/2	1/2	2/2	1	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
113	106	178	106a	661	421	2.0	0	0	2/2	1	1		VII7	c	i		VII7		VII		7						Mm7	1	1	-2, 2, -1, -4		-2	-2
113	106	178	106a	663	423	2.0	1/2	1/2	2/2	1	1		III	c	i		III		III								M	1	1	-3, 1, -2		-3	-3
114	107	179	107a	665	425	1.0	0	0	2/2	1	1		iv6(2)	c	i		iv6(2)		iv		6	2					m	1	1	-4, 0, 1		-1	-4
114	107	179	107a	666	426	1.0	1/4	1/4	2/2	1	1		iv6	c	i		iv6		iv		6						m	1	1	-4, 0, -1		-1	-4
114	107	179	107a	667	427	1.0	1/2	1/2	2/2	1	1		ii%43	c	i		ii%43		ii	%	43						%7	1	1	-4, 0, 2, -1		2	-4
114	107	179	107a	668	428	1.0	3/4	3/4	2/2	1	1		.Fr6	c	i		Fr6	Fr	V		43	b5	V				Fr	1	1	-4, 0, 2, 6		2	-4
115	108	180	108a	669	429	4.0	0	0	2/2	1	1		V\\	c	i		V		V							\\	M	1	1	1, 5, 2		1	1
116	109	181	109a	673	433	5.0	0	0	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
117	110	182	110a	678	438	1.0	1/4	1/4	2/2	1	1		i2	c	i		i2		i		2						mm7	1	1	-2, 0, -3, 1		0	-2
117	110	182	110a	679	439	1.0	1/2	1/2	2/2	1	1		VI	c	i		VI		VI								M	1	1	-4, 0, -3		-4	-4
117	110	182	110a	680	440	1.0	3/4	3/4	2/2	1	1		i64	c	i		i64		i		64						m	1	1	1, 0, -3		0	1
118	111	183	111a	681	441	1.0	0	0	2/2	1	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
118	111	183	111a	682	442	1.0	1/4	1/4	2/2	1	1		.It6	c	i		It6	It	vii	o	6	b3	V				It	1	1	-4, 0, 6		6	-4
118	111	183	111a	683	443	1.0	1/2	1/2	2/2	1	1		V(64)	c	i		V(64)		V			64					M	1	1	1, 0, -3		1	1
118	111	183	111a	684	444	1.0	3/4	3/4	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
119	112	184	112a	685	445	2.0	0	0	2/2	1	1		i\\	c	i		i		i							\\	m	1	1	0, -3, 1		0	0
119	112	184	112a	687	447	2.0	1/2	1/2	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
120	113	185	113a	689	449	4.0	0	0	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
121	114	186	114a	693	453	4.0	0	0	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
122	115	187	115a	697	457	2.0	0	0	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
122	115	187	115a	699	459	2.0	1/2	1/2	2/2	1	1		i64	c	i		i64		i		64						m	1	1	1, 0, -3		0	1
123	116	188	116a	701	461	12.0	0	0	2/2	1	1		V7	c	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
126	119	191	119a	713	473	4.0	0	0	2/2	1	1		I.I	c	I		I		I								M	1	0	0, 4, 1		0	0
127	120	192	120a	717	477	4.0	0	0	2/2	1	1		V43	c	I		V43		V		43						Mm7	1	0	2, -1, 1, 5		1	2
128	121	193	121a	721	481	2.0	0	0	2/2	1	1		I6	c	I		I6		I		6						M	1	0	4, 1, 0		0	4
128	121	193	121a	723	483	2.0	1/2	1/2	2/2	1	1		#viio6/V	c	I		#viio6/V		#vii	o	6		V				o	1	0	3, 0, 6		6	3
129	122	194	122a	725	485	2.0	0	0	2/2	1	1		V(4)	c	I		V(4)		V			4					M	1	0	1, 0, 2		1	1
129	122	194	122a	727	487	2.0	1/2	1/2	2/2	1	1		V	c	I		V		V								M	1	0	1, 5, 2		1	1
130	123	195	123a	729	489	0.0	0	0	2/2	1	1		V65/ii	c	I		V65/ii		V		65		ii				Mm7	1	0	7, 4, 1, 3		3	7
130	123	195	123a	729	489	4.0	0	0	2/2	1	1		ii	c	I		ii		ii								m	1	0	2, -1, 3		2	2
131	124	196	124a	733	493	0.0	0	0	2/2	1	1		V65	c	I		V65		V		65						Mm7	1	0	5, 2, -1, 1		1	5
131	124	196	124a	733	493	4.0	0	0	2/2	1	1		I	c	I		I		I								M	1	0	0, 4, 1		0	0
132	125	197	125a	737	497	1.0	0	0	2/2	1	1		ii6(94)	c	I		ii6(94)		ii		6	94					m	1	0	1, 3, 2	4	2	1
132	125	197	125a	738	498	1.0	1/4	1/4	2/2	1	1		ii6	c	I		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
132	125	197	125a	739	499	1.0	1/2	1/2	2/2	1	1		V(64)	c	I		V(64)		V			64					M	1	0	1, 0, 4		1	1
132	125	197	125a	740	500	1.0	3/4	3/4	2/2	1	1		V7	c	I		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
133	126	198	126a	741	501	4.0	0	0	2/2	1	1		I\\	c	I		I		I							\\	M	1	0	0, 4, 1		0	0
134	127	199	127a	745	505	4.0	0	0	2/2	1	1		I	c	I		I		I								M	1	0	0, 4, 1		0	0
135	128	200	128a	749	509	4.0	0	0	2/2	1	1		V7	c	I		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
136	129	201	129a	753	513	1.0	0	0	2/2	1	1		I	c	I		I		I								M	1	0	0, 4, 1		0	0
136	129	201	129a	754	514	2.0	1/4	1/4	2/2	1	1		V6	c	I		V6		V		6						M	1	0	5, 2, 1		1	5
136	129	201	129a	756	516	1.0	3/4	3/4	2/2	1	1		V7/V	c	I		V7/V		V		7		V				Mm7	1	0	2, 6, 3, 0		2	2
137	130	202	130a	757	517	4.0	0	0	2/2	1	1		V	c	I		V		V								M	1	0	1, 5, 2		1	1
138	131	203	131a	761	521	2.0	0	0	2/2	1	1		V7/ii	c	I		V7/ii		V		7		ii				Mm7	1	0	3, 7, 4, 1		3	3
138	131	203	131a	763	523	2.0	1/2	1/2	2/2	1	1		ii	c	I		ii		ii								m	1	0	2, -1, 3		2	2
139	132	204	132a	765	525	2.0	0	0	2/2	1	1		V	c	I		V		V								M	1	0	1, 5, 2		1	1
139	132	204	132a	767	527	2.0	1/2	1/2	2/2	1	1		I	c	I		I		I								M	1	0	0, 4, 1		0	0
140	133	205	133a	769	529	1.0	0	0	2/2	1	1		ii6(2)	c	I		ii6(2)		ii		6	2					m	1	0	-1, 3, 4		2	-1
140	133	205	133a	770	530	1.0	1/4	1/4	2/2	1	1		ii6	c	I		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
140	133	205	133a	771	531	1.0	1/2	1/2	2/2	1	1		V7(4)	c	I		V7(4)		V		7	4					Mm7	1	0	1, 0, 2, -1		1	1
140	133	205	133a	772	532	1.0	3/4	3/4	2/2	1	1		V7	c	I		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
141	134	206	134a	773	533	3.0	0	0	2/2	1	1		I\\	c	I		I		I							\\	M	1	0	0, 4, 1		0	0
141	134	206	134a	776	536	1.0	3/4	3/4	2/2	1	1		v6	c	I		v6		v		6						m	1	0	-2, 2, 1		1	-2
142	135	207	135a	777	537	2.0	0	0	2/2	1	1		V7/ii	c	I		V7/ii		V		7		ii				Mm7	1	0	3, 7, 4, 1		3	3
142	135	207	135a	779	539	2.0	1/2	1/2	2/2	1	1		ii	c	I		ii		ii								m	1	0	2, -1, 3		2	2
143	136	208	136a	781	541	2.0	0	0	2/2	1	1		V7	c	I		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
143	136	208	136a	783	543	2.0	1/2	1/2	2/2	1	1		I	c	I		I		I								M	1	0	0, 4, 1		0	0
144	137	209	137a	785	545	4.0	0	0	2/2	1	1		ii6	c	I		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
145	138	210	138a	789	549	2.0	0	0	2/2	1	1		V(64)	c	I		V(64)		V			64					M	1	0	1, 0, 4		1	1
145	138	210	138a	791	551	2.0	1/2	1/2	2/2	1	1		V7	c	I		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
146	139	211	139a	793	553	4.0	0	0	2/2	1	1		I\\	c	I		I		I							\\	M	1	0	0, 4, 1		0	0
147	140	212	140a	797	557	4.0	0	0	2/2	1	1		I6	c	I		I6		I		6						M	1	0	4, 1, 0		0	4
148	141	213	141a	801	561	4.0	0	0	2/2	1	1		V64	c	I		V64		V		64						M	1	0	2, 1, 5		1	2
149	142	214	142a	805	565	4.0	0	0	2/2	1	1		V7	c	I		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
150	143	215	143a	809	569	4.0	0	0	2/2	1	1		i.i	c	i		i		i								m	1	1	0, -3, 1		0	0
151	144	216	144a	813	573	4.0	0	0	2/2	1	1		i6	c	i		i6		i		6						m	1	1	-3, 1, 0		0	-3
152	145	217	145a	817	577	8.0	0	0	2/2	1	1		V7/III	c	i		V7/III		V		7		III				Mm7	1	1	-2, 2, -1, -4		-2	-2
154	147	219	147a	825	585	4.0	0	0	2/2	1	1		III	c	i		III		III								M	1	1	-3, 1, -2		-3	-3
155	148	220	148a	829	589	4.0	0	0	2/2	1	1		III6	c	i		III6		III		6						M	1	1	1, -2, -3		-3	1
156	149	221	149a	833	593	7.0	0	0	2/2	1	1		V7/iv	c	i		V7/iv		V		7		iv				Mm7	1	1	0, 4, 1, -2		0	0
157	150	222	150a	840	600	1.0	3/4	3/4	2/2	1	1		V2/iv	c	i		V2/iv		V		2		iv				Mm7	1	1	-2, 0, 4, 1		0	-2
158	151	223	151a	841	601	8.0	0	0	2/2	1	1		iv6	c	i		iv6		iv		6						m	1	1	-4, 0, -1		-1	-4
160	153	225	153a	849	609	8.0	0	0	2/2	1	1		.It6	c	i		It6	It	vii	o	6	b3	V				It	1	1	-4, 0, 6		6	-4
162	155	227	155a	857	617	1.0	0	0	2/2	1	1		V\\	c	i		V		V							\\	M	1	1	1, 5, 2		1	1
162	155	227	155a	858	618	1.0	1/4	1/4	2/2	1	1		V[V	c	i	V	V		V								M	1	1	1, 5, 2		1	1
162	155	227	155a	859	619	2.0	1/2	1/2	2/2	1	1		#viio7	c	i		#viio7		#vii	o	7						o7	1	1	5, 2, -1, -4		5	5
