mc	mn	mc_playthrough	mn_playthrough	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
148	148	213	148a	801	4.0	-3	2/2	1	0							149
149	149	214	149a	805	4.0	-3	2/2	1	0							150
150	150	215	150a	809	4.0	-3	2/2	1	0							151
151	151	216	151a	813	4.0	-3	2/2	1	0							152
152	152	217	152a	817	4.0	-3	2/2	1	0							153
153	153	218	153a	821	4.0	-3	2/2	1	0							154
154	154	219	154a	825	4.0	-3	2/2	1	0							155
155	155	220	155a	829	4.0	-3	2/2	1	0							156
156	156	221	156a	833	4.0	-3	2/2	1	0							157
157	157	222	157a	837	4.0	-3	2/2	1	0							158
158	158	223	158a	841	4.0	-3	2/2	1	0							159
159	159	224	159a	845	4.0	-3	2/2	1	0							160
160	160	225	160a	849	4.0	-3	2/2	1	0							161
161	161	226	161a	853	4.0	-3	2/2	1	0							162
162	162	227	162a	857	4.0	-3	2/2	1	0							163
163	163	228	163a	861	4.0	-3	2/2	1	0							164
164	164	229	164a	865	4.0	-3	2/2	1	0							165
165	165	230	165a	869	4.0	-3	2/2	1	0							166
166	166	231	166a	873	4.0	-3	2/2	1	0							167
167	167	232	167a	877	4.0	-3	2/2	1	0							168
168	168	233	168a	881	4.0	-3	2/2	1	0							169
169	169	234	169a	885	4.0	-3	2/2	1	0							170
170	170	235	170a	889	4.0	-3	2/2	1	0							171
171	171	236	171a	893	4.0	-3	2/2	1	0							172
172	172	237	172a	897	4.0	-3	2/2	1	0							173
173	173	238	173a	901	4.0	-3	2/2	1	0							174
174	174	239	174a	905	4.0	-3	2/2	1	0							175
175	175	240	175a	909	4.0	-3	2/2	1	0							176
176	176	241	176a	913	4.0	-3	2/2	1	0							177
177	177	242	177a	917	4.0	-3	2/2	1	0							178
178	178	243	178a	921	4.0	-3	2/2	1	0							179
179	179	244	179a	925	4.0	-3	2/2	1	0							180
180	180	245	180a	929	4.0	-3	2/2	1	0							181
181	181	246	181a	933	4.0	-3	2/2	1	0							182
182	182	247	182a	937	4.0	-3	2/2	1	0							183
183	183	248	183a	941	4.0	-3	2/2	1	0							184
184	184	249	184a	945	4.0	-3	2/2	1	0							185
185	185	250	185a	949	4.0	-3	2/2	1	0							186
186	186	251	186a	953	4.0	-3	2/2	1	0							187
187	187	252	187a	957	4.0	-3	2/2	1	0							188
188	188	253	188a	961	4.0	-3	2/2	1	0							189
189	189	254	189a	965	4.0	-3	2/2	1	0							190
190	190	255	190a	969	4.0	-3	2/2	1	0							191
191	191	256	191a	973	4.0	-3	2/2	1	0							192
192	192	257	192a	977	4.0	-3	2/2	1	0							193
193	193	258	193a	981	4.0	-3	2/2	1	0							194
194	194	259	194a	985	4.0	-3	2/2	1	0							195
195	195	260	195a	989	4.0	-3	2/2	1	0							196
196	196	261	196a	993	4.0	-3	2/2	1	0							197
197	197	262	197a	997	4.0	-3	2/2	1	0							198
198	198	263	198a	1001	4.0	-3	2/2	1	0							199
199	199	264	199a	1005	4.0	-3	2/2	1	0							200
200	200	265	200a	1009	4.0	-3	2/2	1	0							201
201	201	266	201a	1013	4.0	-3	2/2	1	0							202
202	202	267	202a	1017	4.0	-3	2/2	1	0							203
203	203	268	203a	1021	4.0	-3	2/2	1	0							204
204	204	269	204a	1025	4.0	-3	2/2	1	0							205
205	205	270	205a	1029	4.0	-3	2/2	1	0							206
206	206	271	206a	1033	4.0	-3	2/2	1	0							207
207	207	272	207a	1037	4.0	-3	2/2	1	0							208
208	208	273	208a	1041	4.0	-3	2/2	1	0							209
209	209	274	209a	1045	4.0	-3	2/2	1	0							210
210	210	275	210a	1049	4.0	-3	2/2	1	0							211
211	211	276	211a	1053	4.0	-3	2/2	1	0							212
212	212	277	212a	1057	4.0	-3	2/2	1	0							213
213	213	278	213a	1061	4.0	-3	2/2	1	0							214
214	214	279	214a	1065	4.0	-3	2/2	1	0							215
215	215	280	215a	1069	4.0	-3	2/2	1	0							216
216	216	281	216a	1073	4.0	-3	2/2	1	0							217
217	217	282	217a	1077	4.0	-3	2/2	1	0							218
218	218	283	218a	1081	4.0	-3	2/2	1	0							219
219	219	284	219a	1085	4.0	-3	2/2	1	0							220
220	220	285	220a	1089	4.0	-3	2/2	1	0							221
221	221	286	221a	1093	4.0	-3	2/2	1	0							222
222	222	287	222a	1097	4.0	-3	2/2	1	0							223
223	223	288	223a	1101	4.0	-3	2/2	1	0							224
224	224	289	224a	1105	4.0	-3	2/2	1	0							225
