mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
10	8	0	1/4	3/8	1	1	i{					c	i		i	i						{	m	1	1	0, -3, 1		0	0	0	2	0.0	0.0	0.25	0.0
11	9	0	0	3/8	1	1	III.ii7					c	III		ii7	ii		7					mm7	1	0	-1, -4, 0, -3		-1	-1	1	2	0.3333333333333333	0.0	0.25	0.0
11	9	1/8	1/8	3/8	1	1	V					c	III		V	V							M	1	0	-2, 2, -1		-2	-2	1	2	0.3333333333333333	0.0	0.25	0.0
11	9	1/4	1/4	3/8	1	1	V7					c	III		V7	V		7					Mm7	1	0	-2, 2, -1, -4		-2	-2	0	2	0.0	0.0	0.25	0.0
12	10	0	0	3/8	1	1	I|IAC}					c	III		I	I					IAC	}	M	1	0	-3, 1, -2		-3	-3	2	5	0.2857142857142857	0.125	0.625	0.16666666666666666
13	11	0	0	3/8	1	1	VII.ii7					c	VII		ii7	ii		7					mm7	1	0	0, -3, 1, -2		0	0	0	2	0.0	0.0	0.25	0.0
13	11	1/8	1/8	3/8	1	1	V					c	VII		V	V							M	1	0	-1, 3, 0		-1	-1	1	2	0.3333333333333333	0.0	0.25	0.0
13	11	1/4	1/4	3/8	1	1	V7					c	VII		V7	V		7					Mm7	1	0	-1, 3, 0, -3		-1	-1	0	2	0.0	0.0	0.25	0.0
14	12	0	0	3/8	1	1	I|IAC}					c	VII		I	I					IAC	}	M	1	0	-2, 2, -1		-2	-2	1	3	0.25	0.0625	0.4375	0.125
14	12	1/4	1/4	3/8	1	1	v.i{					c	v		i	i						{	m	1	1	1, -2, 2		1	1	0	2	0.0	0.0	0.25	0.0
15	13	0	0	3/8	1	1	ii%43					c	v		ii%43	ii	%	43					%7	1	1	-3, 1, 3, 0		3	-3	0	2	0.0	0.0	0.25	0.0
15	13	1/8	1/8	3/8	1	1	i64					c	v		i64	i		64					m	1	1	2, 1, -2		1	2	0	2	0.0	0.0	0.25	0.0
15	13	1/4	1/4	3/8	1	1	V2					c	v		V2	V		2					Mm7	1	1	0, 2, 6, 3		2	0	0	2	0.0	0.0	0.25	0.0
16	14	0	0	3/8	1	1	i6					c	v		i6	i		6					m	1	1	-2, 2, 1		1	-2	0	2	0.0	0.0	0.3125	0.0
16	14	1/8	1/8	3/8	1	1	V43					c	v		V43	V		43					Mm7	1	1	3, 0, 2, 6		2	3	0	2	0.0	0.0	0.1875	0.0
16	14	1/4	1/4	3/8	1	1	i6					c	v		i6	i		6					m	1	1	-2, 2, 1		1	-2	0	2	0.0	0.0	0.25	0.0
17	15	0	0	3/8	1	1	ii%65					c	v		ii%65	ii	%	65					%7	1	1	0, -3, 1, 3		3	0	0	2	0.0	0.0	0.25	0.0
17	15	1/8	1/8	3/8	1	1	V65					c	v		V65	V		65					Mm7	1	1	6, 3, 0, 2		2	6	1	3	0.25	0.0	0.3125	0.0
17	15	1/4	1/4	3/8	1	1	i					c	v		i	i							m	1	1	1, -2, 2		1	1	0	2	0.0	0.0	0.1875	0.0
18	16	0	0	3/8	1	1	V					c	v		V	V							M	1	1	2, 6, 3		2	2	0	2	0.0	0.0	0.25	0.0
18	16	1/8	1/8	3/8	1	1	I|PAC}					c	v		I	I					PAC	}	M	1	1	1, 5, 2		1	1	0	2	0.0	0.0	0.25	0.0
19	16	0	1/4	3/8	1	1	i.V{					c	i		V	V						{	M	1	1	1, 5, 2		1	1	0	2	0.0	0.0	0.25	0.0
20	17	0	0	3/8	1	1	i					c	i		i	i							m	1	1	0, -3, 1		0	0	1	2	0.3333333333333333	0.0	0.25	0.0
20	17	1/8	1/8	3/8	1	1	VII.V					c	VII		V	V							M	1	0	-1, 3, 0		-1	-1	1	2	0.3333333333333333	0.0	0.25	0.0
20	17	1/4	1/4	3/8	1	1	V2					c	VII		V2	V		2					Mm7	1	0	-3, -1, 3, 0		-1	-3	1	2	0.3333333333333333	0.0	0.25	0.0
21	18	0	0	3/8	1	1	I6					c	VII		I6	I		6					M	1	0	2, -1, -2		-2	2	3	2	0.6	0.1875	0.3125	0.375
21	18	1/4	1/4	3/8	1	1	I					c	VII		I	I							M	1	0	-2, 2, -1		-2	-2	0	2	0.0	0.0	0.25	0.0
22	19	0	0	3/8	1	1	IV					c	VII		IV	IV							M	1	0	-3, 1, -2		-3	-3	2	2	0.5	0.0625	0.1875	0.25
22	19	1/8	1/8	3/8	1	1	V43					c	VII		V43	V		43					Mm7	1	0	0, -3, -1, 3		-1	0	0	2	0.0	0.0	0.3125	0.0
22	19	1/4	1/4	3/8	1	1	I					c	VII		I	I							M	1	0	-2, 2, -1		-2	-2	0	2	0.0	0.0	0.1875	0.0
23	20	0	0	3/8	1	1	V					c	VII		V	V							M	1	0	-1, 3, 0		-1	-1	0	2	0.0	0.0	0.25	0.0
23	20	1/8	1/8	3/8	1	1	I					c	VII		I	I							M	1	0	-2, 2, -1		-2	-2	1	2	0.3333333333333333	0.0625	0.1875	0.25
23	20	1/4	1/4	3/8	1	1	III.I6					c	III		I6	I		6					M	1	0	1, -2, -3		-3	1	1	2	0.3333333333333333	0.0625	0.1875	0.25
24	21	0	0	3/8	1	1	IV					c	III		IV	IV							M	1	0	-4, 0, -3		-4	-4	0	2	0.0	0.0	0.25	0.0
24	21	1/8	1/8	3/8	1	1	I6					c	III		I6	I		6					M	1	0	1, -2, -3		-3	1	0	2	0.0	0.0	0.3125	0.0
24	21	1/4	1/4	3/8	1	1	V43					c	III		V43	V		43					Mm7	1	0	-1, -4, -2, 2		-2	-1	0	2	0.0	0.0	0.1875	0.0
25	22	0	0	3/8	1	1	I					c	III		I	I							M	1	0	-3, 1, -2		-3	-3	2	3	0.4	0.125	0.375	0.25
25	22	1/4	1/4	3/8	1	1	I6					c	III		I6	I		6					M	1	0	1, -2, -3		-3	1	0	2	0.0	0.0	0.25	0.0
26	23	0	0	3/8	1	1	IV					c	III		IV	IV							M	1	0	-4, 0, -3		-4	-4	1	2	0.3333333333333333	0.0625	0.1875	0.25
26	23	1/8	1/8	3/8	1	1	V43					c	III		V43	V		43					Mm7	1	0	-1, -4, -2, 2		-2	-1	1	2	0.3333333333333333	0.0	0.3125	0.0
26	23	1/4	1/4	3/8	1	1	I					c	III		I	I							M	1	0	-3, 1, -2		-3	-3	0	2	0.0	0.0	0.1875	0.0
27	24	0	0	3/8	1	1	V					c	III		V	V							M	1	0	-2, 2, -1		-2	-2	0	2	0.0	0.0	0.25	0.0
27	24	1/8	1/8	3/8	1	1	I|PAC}					c	III		I	I					PAC	}	M	1	0	-3, 1, -2		-3	-3	0	2	0.0	0.0	0.25	0.0
28	24	0	0	3/8	1	1	i.i{					c	i		i	i						{	m	1	1	0, -3, 1		0	0	0	3	0.0	0.0	0.5	0.0
28	24	5/16	5/16	3/8	1	1	iv					c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1	1	2	0.3333333333333333	0.0625	0.125	0.3333333333333333
